dimension,num_prod,mean_iter_to_NE,std_iters_to_NE,number_of_uniqueNE
5,10,2.9,1.1357816691600546,1
5,20,4.35,1.4062361110425234,1
5,30,5.5,1.8708286933869707,1
5,40,6.15,1.7542804792848834,1
5,50,7.125,2.5118469300496797,1
5,60,7.15,3.174507835869995,1
5,70,9.1,3.2465366161495854,1
5,80,9.25,3.0228298000383678,1
5,90,10.25,3.554926159570688,1
5,100,9.725,3.6193058726777982,1
10,10,4.6,1.260952021291849,1
10,20,6.525,1.6276900810658028,1
10,30,8.15,1.5898113095584647,1
10,40,10.375,2.6427968139832467,1
10,50,11.55,2.880538144166815,1
10,60,13.625,3.526240916330023,1
10,70,14.9,2.973213749463701,1
10,80,16.125,3.075609695653855,1
10,90,17.725,4.277776875901781,1
10,100,18.575,4.603734896798468,1
15,10,7.075,1.8081413108493485,1
15,20,8.575,1.8423829677892705,1
15,30,11.025,2.103419834460063,1
15,40,13.025,2.1152718501412533,1
15,50,15.075,2.5728146066127655,1
15,60,18.1,2.615339366124404,1
15,70,17.875,3.0098795656969397,1
15,80,21.775,3.650256840278503,1
15,90,22.925,2.961313053359945,1
15,100,24.6,3.806573262134856,1
20,10,7.625,1.71300175131259,1
20,20,10.425,2.0722873835450524,1
20,30,13.0,2.479919353527449,1
20,40,15.25,2.745450782658469,1
20,50,17.875,3.195211260621119,1
20,60,20.225,2.6123504741898627,1
20,70,23.55,3.1933524703671536,1
20,80,25.2,4.1303752856126765,1
20,90,27.3,3.9000000000000004,1
20,100,28.2,4.512205669071391,1
