dimension,num_prod,mean_iter_to_NE,std_iters_to_NE,number_of_uniqueNE
5,10,3.075,1.292042955942255,1
5,20,4.575,1.5793590472087087,1
5,30,5.775,2.127057827140579,1
5,40,7.05,2.386943652456002,1
5,50,6.35,2.2197972880423116,1
5,60,7.825,2.9990623534698306,1
5,70,8.5,2.6362852652928135,1
5,80,8.8,3.5510561809129406,1
5,90,9.875,3.131992177512581,1
5,100,10.7,4.261455150532504,1
10,10,5.0,1.396424004376894,1
10,20,6.25,1.5288884851420654,1
10,30,8.525,2.2802138057647134,1
10,40,9.5,2.6551836094703507,1
10,50,10.6,2.5475478405713994,1
10,60,11.225,2.8851992998751403,1
10,70,12.8,2.8035691537752374,1
10,80,13.625,3.245670192733698,1
10,90,15.275,3.80780448552706,1
10,100,15.175,3.3532633359162234,1
15,10,9.525,3.6330944111046715,1
15,20,8.075,1.9797411446954372,1
15,30,9.825,2.143449322937214,1
15,40,12.675,2.6961778502168583,1
15,50,13.925,2.3063770290219248,1
15,60,14.575,3.3903355291180253,1
15,70,16.525,3.4927603696789737,1
15,80,17.05,3.8661996844446618,1
15,90,18.375,3.4834429807304153,1
15,100,19.625,3.57552443705815,1
20,10,8.05,1.8159019797334877,1
20,20,9.275,2.376841391426866,1
20,30,12.15,2.116010396949883,1
20,40,13.775,2.402992925499366,1
20,50,16.075,2.5533066795823802,1
20,60,17.75,3.374537005279391,1
20,70,19.225,2.9110779790311354,1
20,80,20.95,3.980891859872609,1
20,90,22.675,3.3644278859859664,1
20,100,23.275,3.5212746271769264,1
