dimension,num_prod,run,iters_to_NE,NE,converged
5,10,0,1,[2. 2. 2. 2. 2.],True
5,10,1,2,[2. 2. 2. 2. 2.],True
5,10,2,3,[2. 2. 2. 2. 2.],True
5,10,3,2,[2. 2. 2. 2. 2.],True
5,10,4,4,[2. 2. 2. 2. 2.],True
5,10,5,2,[2. 2. 2. 2. 2.],True
5,10,6,1,[2. 2. 2. 2. 2.],True
5,10,7,4,[2. 2. 2. 2. 2.],True
5,10,8,4,[2. 2. 2. 2. 2.],True
5,10,9,1,[2. 2. 2. 2. 2.],True
5,10,10,2,[2. 2. 2. 2. 2.],True
5,10,11,3,[2. 2. 2. 2. 2.],True
5,10,12,2,[2. 2. 2. 2. 2.],True
5,10,13,3,[2. 2. 2. 2. 2.],True
5,10,14,2,[2. 2. 2. 2. 2.],True
5,10,15,3,[2. 2. 2. 2. 2.],True
5,10,16,4,[2. 2. 2. 2. 2.],True
5,10,17,4,[2. 2. 2. 2. 2.],True
5,10,18,2,[2. 2. 2. 2. 2.],True
5,10,19,5,[2. 2. 2. 2. 2.],True
5,10,20,5,[2. 2. 2. 2. 2.],True
5,10,21,3,[2. 2. 2. 2. 2.],True
5,10,22,3,[2. 2. 2. 2. 2.],True
5,10,23,3,[2. 2. 2. 2. 2.],True
5,10,24,4,[2. 2. 2. 2. 2.],True
5,10,25,4,[2. 2. 2. 2. 2.],True
5,10,26,4,[2. 2. 2. 2. 2.],True
5,10,27,2,[2. 2. 2. 2. 2.],True
5,10,28,1,[2. 2. 2. 2. 2.],True
5,10,29,2,[2. 2. 2. 2. 2.],True
5,10,30,2,[2. 2. 2. 2. 2.],True
5,10,31,3,[2. 2. 2. 2. 2.],True
5,10,32,2,[2. 2. 2. 2. 2.],True
5,10,33,5,[2. 2. 2. 2. 2.],True
5,10,34,4,[2. 2. 2. 2. 2.],True
5,10,35,2,[2. 2. 2. 2. 2.],True
5,10,36,2,[2. 2. 2. 2. 2.],True
5,10,37,4,[2. 2. 2. 2. 2.],True
5,10,38,3,[2. 2. 2. 2. 2.],True
5,10,39,4,[2. 2. 2. 2. 2.],True
5,20,0,5,[4. 4. 4. 4. 4.],True
5,20,1,6,[4. 4. 4. 4. 4.],True
5,20,2,7,[4. 4. 4. 4. 4.],True
5,20,3,6,[4. 4. 4. 4. 4.],True
5,20,4,4,[4. 4. 4. 4. 4.],True
5,20,5,3,[4. 4. 4. 4. 4.],True
5,20,6,5,[4. 4. 4. 4. 4.],True
5,20,7,2,[4. 4. 4. 4. 4.],True
5,20,8,1,[4. 4. 4. 4. 4.],True
5,20,9,5,[4. 4. 4. 4. 4.],True
5,20,10,3,[4. 4. 4. 4. 4.],True
5,20,11,5,[4. 4. 4. 4. 4.],True
5,20,12,3,[4. 4. 4. 4. 4.],True
5,20,13,4,[4. 4. 4. 4. 4.],True
5,20,14,4,[4. 4. 4. 4. 4.],True
5,20,15,5,[4. 4. 4. 4. 4.],True
5,20,16,6,[4. 4. 4. 4. 4.],True
5,20,17,6,[4. 4. 4. 4. 4.],True
5,20,18,3,[4. 4. 4. 4. 4.],True
5,20,19,4,[4. 4. 4. 4. 4.],True
5,20,20,4,[4. 4. 4. 4. 4.],True
5,20,21,4,[4. 4. 4. 4. 4.],True
5,20,22,6,[4. 4. 4. 4. 4.],True
5,20,23,6,[4. 4. 4. 4. 4.],True
5,20,24,4,[4. 4. 4. 4. 4.],True
5,20,25,5,[4. 4. 4. 4. 4.],True
5,20,26,6,[4. 4. 4. 4. 4.],True
5,20,27,6,[4. 4. 4. 4. 4.],True
5,20,28,5,[4. 4. 4. 4. 4.],True
5,20,29,3,[4. 4. 4. 4. 4.],True
5,20,30,6,[4. 4. 4. 4. 4.],True
5,20,31,4,[4. 4. 4. 4. 4.],True
5,20,32,4,[4. 4. 4. 4. 4.],True
5,20,33,2,[4. 4. 4. 4. 4.],True
5,20,34,5,[4. 4. 4. 4. 4.],True
5,20,35,4,[4. 4. 4. 4. 4.],True
5,20,36,2,[4. 4. 4. 4. 4.],True
5,20,37,5,[4. 4. 4. 4. 4.],True
5,20,38,4,[4. 4. 4. 4. 4.],True
5,20,39,2,[4. 4. 4. 4. 4.],True
5,30,0,8,[6. 6. 6. 6. 6.],True
5,30,1,6,[6. 6. 6. 6. 6.],True
5,30,2,5,[6. 6. 6. 6. 6.],True
5,30,3,5,[6. 6. 6. 6. 6.],True
5,30,4,7,[6. 6. 6. 6. 6.],True
5,30,5,6,[6. 6. 6. 6. 6.],True
5,30,6,9,[6. 6. 6. 6. 6.],True
5,30,7,4,[6. 6. 6. 6. 6.],True
5,30,8,3,[6. 6. 6. 6. 6.],True
5,30,9,6,[6. 6. 6. 6. 6.],True
5,30,10,9,[6. 6. 6. 6. 6.],True
5,30,11,4,[6. 6. 6. 6. 6.],True
5,30,12,4,[6. 6. 6. 6. 6.],True
5,30,13,7,[6. 6. 6. 6. 6.],True
5,30,14,3,[6. 6. 6. 6. 6.],True
5,30,15,5,[6. 6. 6. 6. 6.],True
5,30,16,9,[6. 6. 6. 6. 6.],True
5,30,17,4,[6. 6. 6. 6. 6.],True
5,30,18,6,[6. 6. 6. 6. 6.],True
5,30,19,5,[6. 6. 6. 6. 6.],True
5,30,20,4,[6. 6. 6. 6. 6.],True
5,30,21,7,[6. 6. 6. 6. 6.],True
5,30,22,8,[6. 6. 6. 6. 6.],True
5,30,23,6,[6. 6. 6. 6. 6.],True
5,30,24,2,[6. 6. 6. 6. 6.],True
5,30,25,9,[6. 6. 6. 6. 6.],True
5,30,26,4,[6. 6. 6. 6. 6.],True
5,30,27,6,[6. 6. 6. 6. 6.],True
5,30,28,7,[6. 6. 6. 6. 6.],True
5,30,29,3,[6. 6. 6. 6. 6.],True
5,30,30,4,[6. 6. 6. 6. 6.],True
5,30,31,5,[6. 6. 6. 6. 6.],True
5,30,32,8,[6. 6. 6. 6. 6.],True
5,30,33,5,[6. 6. 6. 6. 6.],True
5,30,34,6,[6. 6. 6. 6. 6.],True
5,30,35,4,[6. 6. 6. 6. 6.],True
5,30,36,4,[6. 6. 6. 6. 6.],True
5,30,37,3,[6. 6. 6. 6. 6.],True
