dimension,num_prod,run,iters_to_NE,NE,converged
5,10,0,1,[2. 2. 2. 2. 2.],True
5,10,1,5,[2. 2. 2. 2. 2.],True
5,10,2,1,[2. 2. 2. 2. 2.],True
5,10,3,5,[2. 2. 2. 2. 2.],True
5,10,4,3,[2. 2. 2. 2. 2.],True
5,10,5,5,[2. 2. 2. 2. 2.],True
5,10,6,3,[2. 2. 2. 2. 2.],True
5,10,7,2,[2. 2. 2. 2. 2.],True
5,10,8,2,[2. 2. 2. 2. 2.],True
5,10,9,1,[2. 2. 2. 2. 2.],True
5,10,10,2,[2. 2. 2. 2. 2.],True
5,10,11,5,[2. 2. 2. 2. 2.],True
5,10,12,3,[2. 2. 2. 2. 2.],True
5,10,13,3,[2. 2. 2. 2. 2.],True
5,10,14,3,[2. 2. 2. 2. 2.],True
5,10,15,5,[2. 2. 2. 2. 2.],True
5,10,16,3,[2. 2. 2. 2. 2.],True
5,10,17,3,[2. 2. 2. 2. 2.],True
5,10,18,5,[2. 2. 2. 2. 2.],True
5,10,19,4,[2. 2. 2. 2. 2.],True
5,10,20,3,[2. 2. 2. 2. 2.],True
5,10,21,4,[2. 2. 2. 2. 2.],True
5,10,22,4,[2. 2. 2. 2. 2.],True
5,10,23,1,[2. 2. 2. 2. 2.],True
5,10,24,3,[2. 2. 2. 2. 2.],True
5,10,25,3,[2. 2. 2. 2. 2.],True
5,10,26,3,[2. 2. 2. 2. 2.],True
5,10,27,2,[2. 2. 2. 2. 2.],True
5,10,28,2,[2. 2. 2. 2. 2.],True
5,10,29,4,[2. 2. 2. 2. 2.],True
5,10,30,2,[2. 2. 2. 2. 2.],True
5,10,31,2,[2. 2. 2. 2. 2.],True
5,10,32,4,[2. 2. 2. 2. 2.],True
5,10,33,4,[2. 2. 2. 2. 2.],True
5,10,34,3,[2. 2. 2. 2. 2.],True
5,10,35,1,[2. 2. 2. 2. 2.],True
5,10,36,6,[2. 2. 2. 2. 2.],True
5,10,37,2,[2. 2. 2. 2. 2.],True
5,10,38,3,[2. 2. 2. 2. 2.],True
5,10,39,3,[2. 2. 2. 2. 2.],True
5,20,0,5,[4. 4. 4. 4. 4.],True
5,20,1,4,[4. 4. 4. 4. 4.],True
5,20,2,4,[4. 4. 4. 4. 4.],True
5,20,3,1,[4. 4. 4. 4. 4.],True
5,20,4,1,[4. 4. 4. 4. 4.],True
5,20,5,5,[4. 4. 4. 4. 4.],True
5,20,6,7,[4. 4. 4. 4. 4.],True
5,20,7,3,[4. 4. 4. 4. 4.],True
5,20,8,6,[4. 4. 4. 4. 4.],True
5,20,9,6,[4. 4. 4. 4. 4.],True
5,20,10,4,[4. 4. 4. 4. 4.],True
5,20,11,5,[4. 4. 4. 4. 4.],True
5,20,12,5,[4. 4. 4. 4. 4.],True
5,20,13,6,[4. 4. 4. 4. 4.],True
5,20,14,4,[4. 4. 4. 4. 4.],True
5,20,15,6,[4. 4. 4. 4. 4.],True
5,20,16,2,[4. 4. 4. 4. 4.],True
5,20,17,4,[4. 4. 4. 4. 4.],True
5,20,18,6,[4. 4. 4. 4. 4.],True
5,20,19,5,[4. 4. 4. 4. 4.],True
5,20,20,4,[4. 4. 4. 4. 4.],True
5,20,21,6,[4. 4. 4. 4. 4.],True
5,20,22,3,[4. 4. 4. 4. 4.],True
5,20,23,6,[4. 4. 4. 4. 4.],True
5,20,24,4,[4. 4. 4. 4. 4.],True
5,20,25,3,[4. 4. 4. 4. 4.],True
5,20,26,5,[4. 4. 4. 4. 4.],True
5,20,27,3,[4. 4. 4. 4. 4.],True
5,20,28,6,[4. 4. 4. 4. 4.],True
5,20,29,4,[4. 4. 4. 4. 4.],True
5,20,30,6,[4. 4. 4. 4. 4.],True
5,20,31,5,[4. 4. 4. 4. 4.],True
5,20,32,6,[4. 4. 4. 4. 4.],True
5,20,33,3,[4. 4. 4. 4. 4.],True
5,20,34,3,[4. 4. 4. 4. 4.],True
5,20,35,2,[4. 4. 4. 4. 4.],True
5,20,36,6,[4. 4. 4. 4. 4.],True
5,20,37,8,[4. 4. 4. 4. 4.],True
5,20,38,6,[4. 4. 4. 4. 4.],True
5,20,39,5,[4. 4. 4. 4. 4.],True
5,30,0,5,[6. 6. 6. 6. 6.],True
5,30,1,7,[6. 6. 6. 6. 6.],True
5,30,2,8,[6. 6. 6. 6. 6.],True
5,30,3,6,[6. 6. 6. 6. 6.],True
5,30,4,4,[6. 6. 6. 6. 6.],True
5,30,5,10,[6. 6. 6. 6. 6.],True
5,30,6,8,[6. 6. 6. 6. 6.],True
5,30,7,9,[6. 6. 6. 6. 6.],True
5,30,8,4,[6. 6. 6. 6. 6.],True
5,30,9,5,[6. 6. 6. 6. 6.],True
5,30,10,4,[6. 6. 6. 6. 6.],True
5,30,11,6,[6. 6. 6. 6. 6.],True
5,30,12,7,[6. 6. 6. 6. 6.],True
5,30,13,1,[6. 6. 6. 6. 6.],True
5,30,14,6,[6. 6. 6. 6. 6.],True
5,30,15,4,[6. 6. 6. 6. 6.],True
5,30,16,5,[6. 6. 6. 6. 6.],True
5,30,17,5,[6. 6. 6. 6. 6.],True
5,30,18,4,[6. 6. 6. 6. 6.],True
5,30,19,6,[6. 6. 6. 6. 6.],True
5,30,20,9,[6. 6. 6. 6. 6.],True
5,30,21,3,[6. 6. 6. 6. 6.],True
5,30,22,4,[6. 6. 6. 6. 6.],True
5,30,23,4,[6. 6. 6. 6. 6.],True
5,30,24,7,[6. 6. 6. 6. 6.],True
5,30,25,9,[6. 6. 6. 6. 6.],True
5,30,26,5,[6. 6. 6. 6. 6.],True
5,30,27,5,[6. 6. 6. 6. 6.],True
5,30,28,6,[6. 6. 6. 6. 6.],True
5,30,29,5,[6. 6. 6. 6. 6.],True
5,30,30,8,[6. 6. 6. 6. 6.],True
5,30,31,8,[6. 6. 6. 6. 6.],True
5,30,32,8,[6. 6. 6. 6. 6.],True
5,30,33,3,[6. 6. 6. 6. 6.],True
5,30,34,4,[6. 6. 6. 6. 6.],True
5,30,35,3,[6. 6. 6. 6. 6.],True
5,30,36,4,[6. 6. 6. 6. 6.],True
5,30,37,9,[6. 6. 6. 6. 6.],True
5,30,38,4,[6. 6. 6. 6. 6.],True
5,30,39,9,[6. 6. 6. 6. 6.],True
5,40,0,6,[8. 8. 8. 8. 8.],True
5,40,1,8,[8. 8. 8. 8. 8.],True
5,40,2,7,[8. 8. 8. 8. 8.],True
5,40,3,9,[8. 8. 8. 8. 8.],True
5,40,4,6,[8. 8. 8. 8. 8.],True
5,40,5,3,[8. 8. 8. 8. 8.],True
5,40,6,9,[8. 8. 8. 8. 8.],True
5,40,7,5,[8. 8. 8. 8. 8.],True
5,40,8,6,[8. 8. 8. 8. 8.],True
5,40,9,6,[8. 8. 8. 8. 8.],True
5,40,10,8,[8. 8. 8. 8. 8.],True
5,40,11,4,[8. 8. 8. 8. 8.],True
5,40,12,7,[8. 8. 8. 8. 8.],True
5,40,13,9,[8. 8. 8. 8. 8.],True
5,40,14,6,[8. 8. 8. 8. 8.],True
5,40,15,5,[8. 8. 8. 8. 8.],True
5,40,16,9,[8. 8. 8. 8. 8.],True
5,40,17,7,[8. 8. 8. 8. 8.],True
5,40,18,9,[8. 8. 8. 8. 8.],True
5,40,19,8,[8. 8. 8. 8. 8.],True
5,40,20,10,[8. 8. 8. 8. 8.],True
5,40,21,9,[8. 8. 8. 8. 8.],True
5,40,22,11,[8. 8. 8. 8. 8.],True
5,40,23,10,[8. 8. 8. 8. 8.],True
5,40,24,8,[8. 8. 8. 8. 8.],True
5,40,25,8,[8. 8. 8. 8. 8.],True
5,40,26,9,[8. 8. 8. 8. 8.],True
5,40,27,4,[8. 8. 8. 8. 8.],True
5,40,28,9,[8. 8. 8. 8. 8.],True
5,40,29,3,[8. 8. 8. 8. 8.],True
5,40,30,10,[8. 8. 8. 8. 8.],True
5,40,31,5,[8. 8. 8. 8. 8.],True
5,40,32,6,[8. 8. 8. 8. 8.],True
5,40,33,10,[8. 8. 8. 8. 8.],True
5,40,34,4,[8. 8. 8. 8. 8.],True
5,40,35,12,[8. 8. 8. 8. 8.],True
5,40,36,5,[8. 8. 8. 8. 8.],True
5,40,37,3,[8. 8. 8. 8. 8.],True
5,40,38,3,[8. 8. 8. 8. 8.],True
5,40,39,6,[8. 8. 8. 8. 8.],True
5,50,0,6,[10. 10. 10. 10. 10.],True
5,50,1,5,[10. 10. 10. 10. 10.],True
5,50,2,7,[10. 10. 10. 10. 10.],True
5,50,3,9,[10. 10. 10. 10. 10.],True
5,50,4,4,[10. 10. 10. 10. 10.],True
5,50,5,8,[10. 10. 10. 10. 10.],True
5,50,6,4,[10. 10. 10. 10. 10.],True
5,50,7,4,[10. 10. 10. 10. 10.],True
5,50,8,3,[10. 10. 10. 10. 10.],True
5,50,9,6,[10. 10. 10. 10. 10.],True
5,50,10,6,[10. 10. 10. 10. 10.],True
5,50,11,9,[10. 10. 10. 10. 10.],True
5,50,12,8,[10. 10. 10. 10. 10.],True
5,50,13,7,[10. 10. 10. 10. 10.],True
5,50,14,5,[10. 10. 10. 10. 10.],True
5,50,15,8,[10. 10. 10. 10. 10.],True
5,50,16,5,[10. 10. 10. 10. 10.],True
5,50,17,3,[10. 10. 10. 10. 10.],True
5,50,18,7,[10. 10. 10. 10. 10.],True
5,50,19,6,[10. 10. 10. 10. 10.],True
5,50,20,5,[10. 10. 10. 10. 10.],True
5,50,21,8,[10. 10. 10. 10. 10.],True
5,50,22,5,[10. 10. 10. 10. 10.],True
5,50,23,4,[10. 10. 10. 10. 10.],True
5,50,24,9,[10. 10. 10. 10. 10.],True
5,50,25,9,[10. 10. 10. 10. 10.],True
5,50,26,12,[10. 10. 10. 10. 10.],True
5,50,27,8,[10. 10. 10. 10. 10.],True
5,50,28,5,[10. 10. 10. 10. 10.],True
5,50,29,7,[10. 10. 10. 10. 10.],True
5,50,30,10,[10. 10. 10. 10. 10.],True
5,50,31,7,[10. 10. 10. 10. 10.],True
5,50,32,9,[10. 10. 10. 10. 10.],True
5,50,33,5,[10. 10. 10. 10. 10.],True
5,50,34,3,[10. 10. 10. 10. 10.],True
5,50,35,5,[10. 10. 10. 10. 10.],True
5,50,36,3,[10. 10. 10. 10. 10.],True
5,50,37,4,[10. 10. 10. 10. 10.],True
5,50,38,6,[10. 10. 10. 10. 10.],True
5,50,39,10,[10. 10. 10. 10. 10.],True
5,60,0,3,[11. 12. 12. 12. 13.],True
5,60,1,5,[11. 12. 12. 12. 13.],True
5,60,2,9,[11. 12. 12. 12. 13.],True
5,60,3,13,[11. 12. 12. 12. 13.],True
5,60,4,13,[11. 12. 12. 12. 13.],True
5,60,5,12,[11. 12. 12. 12. 13.],True
5,60,6,10,[11. 12. 12. 12. 13.],True
5,60,7,12,[11. 12. 12. 12. 13.],True
5,60,8,8,[11. 12. 12. 12. 13.],True
5,60,9,4,[11. 12. 12. 12. 13.],True
5,60,10,6,[11. 12. 12. 12. 13.],True
