dimension,num_prod,mean_iter_to_NE,std_iters_to_NE,number_of_uniqueNE
5,10,3.05,1.3219304066402287,1
5,20,5.175,1.8826510563564347,1
5,30,6.15,1.9817921182606413,1
5,40,6.725,2.479793338163485,1
5,50,7.825,2.973949394323985,1
5,60,9.675,2.370522094391866,1
5,70,9.55,3.3537292675468007,1
5,80,10.45,4.2127781807258735,1
5,90,11.7,4.196427051671457,1
5,100,14.45,3.8661996844446618,1
10,10,6.5,1.1832159566199232,1
10,20,10.875,2.1585585468084947,1
10,30,14.725,2.6361667246211873,1
10,40,19.725,2.4595477226514637,1
10,50,23.9,4.004996878900157,1
10,60,27.675,3.9521354986892847,1
10,70,33.05,4.324060591619872,1
10,80,36.775,5.1984973790509885,1
10,90,41.775,4.452457186767774,1
10,100,45.525,5.822316978660643,1
15,10,6.85,1.2951833846988619,1
15,20,13.375,2.069873184521216,1
15,30,20.125,2.5805764859813785,1
15,40,24.7,3.5227829907617076,1
15,50,29.2,3.4,1
15,60,35.5,4.06201920231798,1
15,70,40.95,3.9620070671315064,1
15,80,46.625,3.6103150832025728,1
15,90,52.1,4.768647607026545,1
15,100,57.575,4.403904517584367,1
20,10,7.175,1.2018215341721914,1
20,20,13.025,1.6656455205114922,1
20,30,19.325,3.1415561430603147,1
20,40,24.175,3.0974788134868656,1
20,50,28.8,3.6959437225152656,1
20,60,34.175,3.8722570937374496,1
20,70,40.175,4.212407269009017,1
20,80,44.95,5.200721103847043,1
20,90,50.275,4.538653434665397,1
20,100,55.45,5.009740512242126,1
