dimension,num_prod,mean_iter_to_NE,std_iters_to_NE,number_of_uniqueNE
5,10,3.075,1.292042955942255,1
5,20,4.575,1.5793590472087087,1
5,30,5.675,1.8759997334754606,1
5,40,5.55,2.0850659461993044,1
5,50,6.875,2.993221508675895,1
5,60,7.825,2.4585310654941908,1
5,70,7.775,2.7339303209847907,1
5,80,9.325,3.2045865567963676,1
5,90,9.7,3.5227829907617076,1
5,100,10.5,4.242640687119285,1
10,10,4.625,1.1551515052147923,1
10,20,6.55,2.0970216975510767,1
10,30,8.2,2.0396078054371136,1
10,40,10.025,2.6971049293640763,1
10,50,10.4,2.615339366124404,1
10,60,12.575,2.5188042798121493,1
10,70,12.375,2.5068655727820746,1
10,80,14.475,3.5141677535371016,1
10,90,14.8,3.994996871087636,1
10,100,17.1,3.726929030716845,1
15,10,6.825,1.4298164217828806,1
15,20,8.825,1.320747894187229,1
15,30,10.7,2.3473389188611002,1
15,40,12.775,2.0060844947309673,1
15,50,14.35,2.0922475952907678,1
15,60,15.825,3.0322227820527963,1
15,70,16.175,3.153470310626057,1
15,80,19.275,3.6468308159277147,1
15,90,19.175,3.2625718382895417,1
15,100,19.975,4.37885544406298,1
20,10,7.975,2.030855730966629,1
20,20,8.775,1.7246376431007182,1
20,30,12.65,1.9563997546513854,1
20,40,15.275,2.0492376631323173,1
20,50,17.225,2.8851992998751403,1
20,60,19.2,3.4655446902326914,1
20,70,21.1,2.6438608132804573,1
20,80,23.3,3.2954514106568165,1
20,90,24.6,3.5972211497209896,1
20,100,26.35,3.965791219920686,1
