dimension,num_prod,mean_iter_to_NE,std_iters_to_NE,number_of_uniqueNE
5,10,7.225,1.4402690720834075,1
5,20,14.275,2.2359282188836023,1
5,30,21.925,2.183889878176095,1
5,40,28.725,2.6361667246211877,1
5,50,36.6,2.5377155080899043,1
5,60,43.6,3.0967725134404045,1
5,70,51.475,3.5283671861074777,1
5,80,57.325,4.3725707541445225,1
5,90,65.45,4.206839668920126,1
5,100,73.0,4.183300132670378,1
10,10,8.25,1.0428326807307104,1
10,20,16.325,1.6184483309639515,1
10,30,24.05,1.8432308591166762,1
10,40,32.025,2.274725258135584,1
10,50,40.525,2.5689248723931186,1
10,60,48.025,2.9282033740845255,1
10,70,56.325,3.0115403035656025,1
10,80,64.45,3.653423052426313,1
10,90,72.225,4.0834268696769875,1
10,100,79.6,3.5270384177096794,1
15,10,8.425,1.0461237976453839,1
15,20,16.9,1.1575836902790224,1
15,30,24.85,1.9435791725576812,1
15,40,32.95,2.1558061137310096,1
15,50,41.525,2.3873363818280824,1
15,60,49.75,3.0228298000383678,1
15,70,57.625,3.222479635311913,1
15,80,66.275,2.8283166371536264,1
15,90,75.075,2.513836709096277,1
15,100,82.725,3.667338953519295,1
20,10,8.325,1.1702029738468451,1
20,20,16.9,1.8681541692269403,1
20,30,24.925,2.017269193736919,1
20,40,33.25,2.1418449990603894,1
20,50,41.325,2.0662465970933868,1
20,60,49.45,2.8102490992792792,1
20,70,57.65,2.5937424698685874,1
20,80,66.5,3.8535697735995385,1
20,90,75.3,3.5721142198983507,1
20,100,82.475,2.6171310628243285,1
