dimension,num_prod,mean_iter_to_NE,std_iters_to_NE,number_of_uniqueNE
5,10,6.125,1.5360257159305635,1
5,20,12.2,2.2271057451320084,1
5,30,17.725,2.5979559272628165,1
5,40,24.175,2.245968610644414,1
5,50,28.45,3.420160814932538,1
5,60,35.6,4.1340053217188775,1
5,70,41.25,4.14578098794425,1
5,80,46.3,3.8026306683663087,1
5,90,51.7,4.038564101261735,1
5,100,59.125,5.05068064719994,1
10,10,7.425,1.464368464560747,1
10,20,14.075,1.5229494410518032,1
10,30,20.8,2.4310491562286436,1
10,40,27.525,3.2014645086272626,1
10,50,34.575,2.46867879644153,1
10,60,41.375,3.56151302117513,1
10,70,48.5,3.626292872893749,1
10,80,55.225,4.138160823361025,1
10,90,62.575,4.152634705822317,1
10,100,68.7,4.319722213291036,1
15,10,8.975,0.724137417898012,1
15,20,17.6,1.4628738838327793,1
15,30,25.85,1.4413535305399574,1
15,40,35.1,2.1071307505705477,1
15,50,43.725,2.3236555252446522,1
15,60,52.475,2.408189153700348,1
15,70,60.425,2.8713019694904958,1
15,80,69.45,3.1539657575820317,1
15,90,79.025,3.118393015641229,1
15,100,86.725,3.255668134193041,1
20,10,8.7,1.077032961426901,1
20,20,17.45,1.6116761461286198,1
20,30,26.125,2.0023423783159564,1
20,40,35.25,2.082666559965853,1
20,50,43.55,2.2242976419535223,1
20,60,52.3,2.325940669922601,1
20,70,60.375,2.8955785259598814,1
20,80,69.525,2.692466341479499,1
20,90,78.725,2.8194636014674845,1
20,100,86.85,3.5605477106759853,1
