dimension,num_prod,mean_iter_to_NE,std_iters_to_NE,number_of_uniqueNE
5,10,3.325,1.292042955942255,1
5,20,4.85,1.4756354563373706,1
5,30,7.025,2.3290287675337975,1
5,40,8.725,2.801673606971376,1
5,50,10.575,3.83984049147878,1
5,60,12.225,4.1017526741625945,1
5,70,13.875,3.7160967425512483,1
5,80,14.8,5.244997616777343,1
5,90,15.875,4.284784125250653,1
5,100,19.975,4.875897353308415,1
10,10,6.55,1.3219304066402287,1
10,20,10.75,2.3531893251500184,1
10,30,17.425,2.9655311497268073,1
10,40,22.675,3.052765140000128,1
10,50,27.075,3.4884631286570884,1
10,60,31.6,4.0853396431631,1
10,70,36.0,2.898275349237888,1
10,80,40.725,4.533141846446017,1
10,90,46.7,4.616275555033517,1
10,100,53.425,5.064027547318439,1
15,10,7.85,1.3518505834595775,1
15,20,15.475,2.109354166563785,1
15,30,22.7,2.315167380558045,1
15,40,29.9,2.782085548648711,1
15,50,37.35,3.1980462785894765,1
15,60,44.975,3.220927661404397,1
15,70,51.4,3.419064199455752,1
15,80,59.2,4.075536774462966,1
15,90,66.575,4.329477451148117,1
15,100,74.325,4.474301621482397,1
20,10,8.575,0.9717895862788405,1
20,20,16.625,1.7704166176355214,1
20,30,24.75,2.021756661915573,1
20,40,32.55,2.011839953873071,1
20,50,40.625,2.93843070362396,1
20,60,46.925,2.7146592788046164,1
20,70,56.2,3.3852621759621515,1
20,80,63.675,2.513836709096277,1
20,90,71.575,3.734216785351381,1
20,100,78.7,3.6755951898978214,1
