dimension,num_prod,mean_iter_to_NE,std_iters_to_NE,number_of_uniqueNE
5,10,8.0,1.2449899597988732,1
5,20,15.675,1.6641439240642621,1
5,30,23.975,1.9427750770482928,1
5,40,32.125,2.551347683088293,1
5,50,40.8,2.7946377224964243,1
5,60,47.35,3.2058540203820884,1
5,70,54.875,3.3554992177021887,1
5,80,63.675,4.088933234964837,1
5,90,71.5,3.721558813185679,1
5,100,79.2,4.86929152957594,1
10,10,8.925,0.8771402396424416,1
10,20,17.75,1.4097872179871684,1
10,30,26.3,1.630950643030009,1
10,40,34.175,1.8150413218436654,1
10,50,43.925,2.513836709096277,1
10,60,52.0,2.588435821108957,1
10,70,60.25,2.321098877687032,1
10,80,69.425,2.6822332113371496,1
10,90,78.35,2.971110903349116,1
10,100,86.975,3.1343859047666736,1
15,10,9.25,0.9682458365518543,1
15,20,18.625,1.0882899429839459,1
15,30,27.725,1.6276900810658028,1
15,40,37.575,1.6716384178404133,1
15,50,46.85,1.7542804792848834,1
15,60,56.5,2.0248456731316584,1
15,70,65.375,2.1411153635430296,1
15,80,75.425,2.3333184523335,1
15,90,83.8,2.4413111231467406,1
15,100,93.95,2.144178164239157,1
20,10,9.35,0.792148975887743,1
20,20,18.525,1.0720890821195783,1
20,30,27.55,1.448274835796024,1
20,40,36.925,1.7661752461180062,1
20,50,46.075,1.7942616865998116,1
20,60,54.825,1.6865274975522933,1
20,70,63.55,1.883480820183736,1
20,80,74.0,3.082207001484488,1
20,90,82.175,2.8362607425975495,1
20,100,90.9,2.4474476501040834,1
