dimension,num_prod,run,iters_to_NE,NE,converged
5,10,0,7,[0. 7. 0. 2. 1.],True
5,10,1,9,[0. 7. 0. 2. 1.],True
5,10,2,8,[0. 7. 0. 2. 1.],True
5,10,3,6,[0. 7. 0. 2. 1.],True
5,10,4,7,[0. 7. 0. 2. 1.],True
5,10,5,4,[0. 7. 0. 2. 1.],True
5,10,6,9,[0. 7. 0. 2. 1.],True
5,10,7,6,[0. 7. 0. 2. 1.],True
5,10,8,5,[0. 7. 0. 2. 1.],True
5,10,9,9,[0. 7. 0. 2. 1.],True
5,10,10,7,[0. 7. 0. 2. 1.],True
5,10,11,7,[0. 7. 0. 2. 1.],True
5,10,12,7,[0. 7. 0. 2. 1.],True
5,10,13,6,[0. 7. 0. 2. 1.],True
5,10,14,4,[0. 7. 0. 2. 1.],True
5,10,15,8,[0. 7. 0. 2. 1.],True
5,10,16,6,[0. 7. 0. 2. 1.],True
5,10,17,7,[0. 7. 0. 2. 1.],True
5,10,18,4,[0. 7. 0. 2. 1.],True
5,10,19,4,[0. 7. 0. 2. 1.],True
5,10,20,7,[0. 7. 0. 2. 1.],True
5,10,21,6,[0. 7. 0. 2. 1.],True
5,10,22,6,[0. 7. 0. 2. 1.],True
5,10,23,5,[0. 7. 0. 2. 1.],True
5,10,24,6,[0. 7. 0. 2. 1.],True
5,10,25,8,[0. 7. 0. 2. 1.],True
5,10,26,6,[0. 7. 0. 2. 1.],True
5,10,27,6,[0. 7. 0. 2. 1.],True
5,10,28,7,[0. 7. 0. 2. 1.],True
5,10,29,6,[0. 7. 0. 2. 1.],True
5,10,30,4,[0. 7. 0. 2. 1.],True
5,10,31,8,[0. 7. 0. 2. 1.],True
5,10,32,5,[0. 7. 0. 2. 1.],True
5,10,33,3,[0. 7. 0. 2. 1.],True
5,10,34,6,[0. 7. 0. 2. 1.],True
5,10,35,3,[0. 7. 0. 2. 1.],True
5,10,36,6,[0. 7. 0. 2. 1.],True
5,10,37,5,[0. 7. 0. 2. 1.],True
5,10,38,7,[0. 7. 0. 2. 1.],True
5,10,39,5,[0. 7. 0. 2. 1.],True
5,20,0,10,[ 0. 13.  0.  4.  3.],True
5,20,1,15,[ 0. 13.  0.  4.  3.],True
5,20,2,10,[ 0. 13.  0.  4.  3.],True
5,20,3,14,[ 0. 13.  0.  4.  3.],True
5,20,4,11,[ 0. 13.  0.  4.  3.],True
5,20,5,10,[ 0. 13.  0.  4.  3.],True
5,20,6,10,[ 0. 13.  0.  4.  3.],True
5,20,7,13,[ 0. 13.  0.  4.  3.],True
5,20,8,8,[ 0. 13.  0.  4.  3.],True
5,20,9,10,[ 0. 13.  0.  4.  3.],True
5,20,10,12,[ 0. 13.  0.  4.  3.],True
5,20,11,12,[ 0. 13.  0.  4.  3.],True
5,20,12,13,[ 0. 13.  0.  4.  3.],True
5,20,13,15,[ 0. 13.  0.  4.  3.],True
5,20,14,9,[ 0. 13.  0.  4.  3.],True
5,20,15,14,[ 0. 13.  0.  4.  3.],True
5,20,16,16,[ 0. 13.  0.  4.  3.],True
5,20,17,11,[ 0. 13.  0.  4.  3.],True
5,20,18,13,[ 0. 13.  0.  4.  3.],True
5,20,19,14,[ 0. 13.  0.  4.  3.],True
5,20,20,9,[ 0. 13.  0.  4.  3.],True
5,20,21,15,[ 0. 13.  0.  4.  3.],True
5,20,22,14,[ 0. 13.  0.  4.  3.],True
5,20,23,13,[ 0. 13.  0.  4.  3.],True
5,20,24,12,[ 0. 13.  0.  4.  3.],True
5,20,25,14,[ 0. 13.  0.  4.  3.],True
5,20,26,12,[ 0. 13.  0.  4.  3.],True
5,20,27,16,[ 0. 13.  0.  4.  3.],True
5,20,28,13,[ 0. 13.  0.  4.  3.],True
5,20,29,10,[ 0. 13.  0.  4.  3.],True
5,20,30,15,[ 0. 13.  0.  4.  3.],True
5,20,31,16,[ 0. 13.  0.  4.  3.],True
5,20,32,12,[ 0. 13.  0.  4.  3.],True
5,20,33,14,[ 0. 13.  0.  4.  3.],True
5,20,34,9,[ 0. 13.  0.  4.  3.],True
5,20,35,13,[ 0. 13.  0.  4.  3.],True
5,20,36,9,[ 0. 13.  0.  4.  3.],True
5,20,37,12,[ 0. 13.  0.  4.  3.],True
5,20,38,10,[ 0. 13.  0.  4.  3.],True
5,20,39,10,[ 0. 13.  0.  4.  3.],True
5,30,0,16,[ 0. 19.  0.  6.  5.],True
5,30,1,18,[ 0. 19.  0.  6.  5.],True
5,30,2,20,[ 0. 19.  0.  6.  5.],True
5,30,3,19,[ 0. 19.  0.  6.  5.],True
5,30,4,16,[ 0. 19.  0.  6.  5.],True
5,30,5,18,[ 0. 19.  0.  6.  5.],True
5,30,6,14,[ 0. 19.  0.  6.  5.],True
5,30,7,22,[ 0. 19.  0.  6.  5.],True
5,30,8,18,[ 0. 19.  0.  6.  5.],True
5,30,9,15,[ 0. 19.  0.  6.  5.],True
5,30,10,18,[ 0. 19.  0.  6.  5.],True
5,30,11,12,[ 0. 19.  0.  6.  5.],True
5,30,12,18,[ 0. 19.  0.  6.  5.],True
5,30,13,20,[ 0. 19.  0.  6.  5.],True
5,30,14,22,[ 0. 19.  0.  6.  5.],True
