dimension,num_prod,mean_iter_to_NE,std_iters_to_NE,number_of_uniqueNE
5,10,3.325,1.292042955942255,1
5,20,4.85,1.4756354563373706,1
5,30,6.975,2.919653232834338,1
5,40,8.875,3.042922115335849,1
5,50,10.2,4.154515615568197,1
5,60,12.175,4.259621462055049,1
5,70,12.15,3.9531632903283924,1
5,80,15.7,4.605431575867782,1
5,90,14.25,5.9107952087684446,1
5,100,17.825,4.1945649357233705,1
10,10,5.85,1.4756354563373706,1
10,20,10.9,2.3430749027719964,1
10,30,14.8,2.5903667693977237,1
10,40,18.2,2.628687885618983,1
10,50,22.575,3.153470310626057,1
10,60,27.95,3.8206674809514634,1
10,70,31.725,5.118532504536823,1
10,80,35.95,4.732599708405519,1
10,90,40.825,4.999437468355815,1
10,100,44.925,4.859976851796724,1
15,10,8.525,1.0951598056904754,1
15,20,16.225,1.6953981833185974,1
15,30,23.55,2.213029597633073,1
15,40,31.7,2.951270912674741,1
15,50,38.4,2.5573423705088847,1
15,60,46.625,3.752915533288752,1
15,70,55.225,3.29004179304762,1
15,80,62.7,3.769615364994153,1
15,90,70.05,4.200892762258993,1
15,100,78.05,3.721222917267924,1
20,10,8.125,1.0997158723961387,1
20,20,14.675,2.054111730164647,1
20,30,21.95,2.654712790491657,1
20,40,29.35,2.971110903349116,1
20,50,35.475,3.193646035489844,1
20,60,43.475,4.0124026467940626,1
20,70,49.75,3.973348713616765,1
20,80,55.675,4.507701742573482,1
20,90,64.925,4.33813035765409,1
20,100,71.8,3.9319206502675,1
