dimension,num_prod,mean_iter_to_NE,std_iters_to_NE,number_of_uniqueNE
5,10,3.55,1.3219304066402287,1
5,20,5.9,2.2781571499789037,1
5,30,8.9,2.233830790368868,1
5,40,11.55,2.71062723368596,1
5,50,13.65,3.48245602987317,1
5,60,15.55,3.980891859872609,1
5,70,18.45,4.609501057598316,1
5,80,18.6,4.211887937730538,1
5,90,22.0,5.656854249492381,1
5,100,24.2,6.046486583132389,1
10,10,5.7,1.6155494421403513,1
10,20,9.65,2.2422087324778666,1
10,30,11.2,2.4617067250182343,1
10,40,15.9,2.808914381037628,1
10,50,18.95,3.5982634700644143,1
10,60,21.85,3.1823733281939126,1
10,70,24.65,3.953163290328392,1
10,80,30.1,4.825971404805461,1
10,90,30.75,4.836062447901185,1
10,100,37.45,4.821566135603659,1
15,10,7.05,1.6874537030686203,1
15,20,12.55,2.2242976419535223,1
15,30,17.9,2.487971060924946,1
15,40,23.35,4.222262426709168,1
15,50,28.05,3.48532638356869,1
15,60,32.3,3.1638584039112754,1
15,70,36.8,5.201922721455981,1
15,80,42.95,4.903825037661927,1
15,90,48.4,4.305810028322197,1
15,100,50.3,4.279018579066934,1
20,10,7.8,0.9273618495495705,1
20,20,12.5,1.8841443681416772,1
20,30,19.25,2.6433879775772606,1
20,40,23.2,3.043024810940588,1
20,50,29.4,2.477902338672773,1
20,60,37.5,4.260281680828158,1
20,70,41.2,3.4871191548325386,1
20,80,47.4,4.091454509095757,1
20,90,49.1,4.948737212663449,1
20,100,59.4,4.029888335921977,1
