dimension,num_prod,mean_iter_to_NE,std_iters_to_NE,number_of_uniqueNE
5,10,3.25,1.355544171172596,1
5,20,5.025,1.7675901674313532,1
5,30,6.7,2.293468988235943,1
5,40,8.65,2.894391127681261,1
5,50,10.6,3.3451457367355464,1
5,60,10.2,3.782856063875547,1
5,70,13.4,3.9230090491866063,1
5,80,14.45,4.159026328361002,1
5,90,19.0,5.07444578254611,1
5,100,17.475,4.748618220072025,1
10,10,5.375,1.7275343701356567,1
10,20,9.075,2.5533066795823802,1
10,30,13.425,2.691537664607352,1
10,40,16.65,2.752725921700161,1
10,50,19.225,3.3502798390582242,1
10,60,22.7,4.075536774462966,1
10,70,25.525,4.49993055501971,1
10,80,29.6,4.758150901348127,1
10,90,33.25,4.217522969706271,1
10,100,35.975,4.221892348224905,1
15,10,7.2,1.2688577540449522,1
15,20,13.925,1.9543221331193072,1
15,30,17.75,2.384848003542364,1
15,40,22.425,3.78739686328222,1
15,50,27.325,3.1574317094752815,1
15,60,31.85,4.373499742768942,1
15,70,37.425,5.014416715830467,1
15,80,40.65,4.356317251991641,1
15,90,46.35,5.850427334819226,1
15,100,51.15,4.655910222502148,1
20,10,7.725,1.3962002005443201,1
20,20,13.3,2.17025344142107,1
20,30,17.45,2.190319611380951,1
20,40,24.45,3.5843409436045564,1
20,50,29.475,3.0576747701480613,1
20,60,35.575,3.477696795294265,1
20,70,40.65,3.6915443922564446,1
20,80,46.05,3.478146057887736,1
20,90,52.35,4.186585721085859,1
20,100,58.6,4.862098312457287,1
