dimension,num_prod,mean_iter_to_NE,std_iters_to_NE,number_of_uniqueNE
5,10,3.05,1.3219304066402287,1
5,20,5.175,1.8826510563564347,1
5,30,6.15,1.9817921182606413,1
5,40,6.725,2.479793338163485,1
5,50,7.825,2.973949394323985,1
5,60,9.675,2.370522094391866,1
5,70,9.55,3.3537292675468007,1
5,80,10.45,4.2127781807258735,1
5,90,11.7,4.196427051671457,1
5,100,14.45,3.8661996844446618,1
10,10,6.05,1.5483862567202022,1
10,20,9.725,2.0855155237974135,1
10,30,14.7,2.4617067250182343,1
10,40,18.05,2.7472713735632306,1
10,50,22.25,4.139746369042432,1
10,60,25.95,3.7878093933037342,1
10,70,30.55,5.147572243300719,1
10,80,33.85,3.997186510534628,1
10,90,37.225,4.251396829278584,1
10,100,41.35,4.886460886981498,1
15,10,7.15,1.1302654555457317,1
15,20,12.55,2.15580611373101,1
15,30,18.45,2.6828156850592624,1
15,40,23.05,2.568559907808264,1
15,50,27.375,3.665293303406973,1
15,60,33.45,3.734635189680513,1
15,70,39.025,3.8761288678267647,1
15,80,43.75,4.363198368169845,1
15,90,51.7,5.762811813689564,1
15,100,54.4,4.684015371452148,1
20,10,7.375,1.4947825928876748,1
20,20,12.875,2.3042081069209006,1
20,30,19.825,2.6161756439505357,1
20,40,9999.0,0.0,0
20,50,29.45,3.646573734342965,1
20,60,35.7,3.776241517699841,1
20,70,40.875,5.3813915486609964,1
20,80,47.525,5.258267300166472,1
20,90,52.575,4.619997294371502,1
20,100,57.9,5.476312628037227,1
