dimension,num_prod,mean_iter_to_NE,std_iters_to_NE,number_of_uniqueNE
5,10,3.075,1.292042955942255,1
5,20,4.575,1.5793590472087087,1
5,30,5.675,1.8759997334754606,1
5,40,5.55,2.0850659461993044,1
5,50,6.875,2.993221508675895,1
5,60,7.825,2.4585310654941908,1
5,70,7.775,2.7339303209847907,1
5,80,9.325,3.2045865567963676,1
5,90,9.7,3.5227829907617076,1
5,100,10.5,4.242640687119285,1
10,10,4.675,1.252746981636755,1
10,20,6.525,1.4315638302220408,1
10,30,8.7,2.0024984394500787,1
10,40,9.925,2.778376324402438,1
10,50,10.85,2.859632843565761,1
10,60,13.175,3.330821970625269,1
10,70,14.125,3.494191608941902,1
10,80,14.075,3.3044477602165236,1
10,90,16.05,3.741323295306087,1
10,100,17.725,3.9305692971883857,1
15,10,6.25,1.2196310917650468,1
15,20,8.725,1.7027551203857823,1
15,30,10.125,2.3578326912654344,1
15,40,13.35,2.1742814905158903,1
15,50,14.575,2.8886631856275664,1
15,60,16.35,2.7977669667075564,1
15,70,17.1,2.817800560721074,1
15,80,19.85,4.286898645874428,1
15,90,20.1,3.352610922848042,1
15,100,20.9,4.548626166217664,1
20,10,7.325,1.506444489518283,1
20,20,9.5,1.9748417658131499,1
20,30,12.15,2.3510635891017495,1
20,40,16.175,2.5188042798121493,1
20,50,17.825,2.528710145508971,1
20,60,18.525,3.1143819611601913,1
20,70,21.55,2.991237202229205,1
20,80,22.6,3.2233522922572395,1
20,90,24.525,4.104799020658624,1
20,100,25.7,4.545327270945405,1
