dimension,num_prod,mean_iter_to_NE,std_iters_to_NE,number_of_uniqueNE
5,10,7.225,1.4402690720834075,1
5,20,14.275,2.2359282188836023,1
5,30,21.925,2.183889878176095,1
5,40,28.725,2.6361667246211877,1
5,50,36.6,2.5377155080899043,1
5,60,43.6,3.0967725134404045,1
5,70,51.475,3.5283671861074777,1
5,80,57.325,4.3725707541445225,1
5,90,65.45,4.206839668920126,1
5,100,73.0,4.183300132670378,1
10,10,7.925,1.2725466592624415,1
10,20,14.925,1.6790994610206984,1
10,30,23.325,2.5434966090010813,1
10,40,30.875,2.4717149916606487,1
10,50,38.4,2.8442925306655784,1
10,60,45.125,3.4364771205407436,1
10,70,53.35,3.409912022325503,1
10,80,61.175,3.4270067114028246,1
10,90,68.375,3.631029468346408,1
10,100,76.45,4.086257456401884,1
15,10,8.45,1.0712142642814273,1
15,20,16.2,1.5524174696260025,1
15,30,24.825,1.947915552584352,1
15,40,32.7,2.5903667693977237,1
15,50,40.55,2.7198345537918294,1
15,60,48.975,3.069914493923243,1
15,70,57.075,2.9865322700416277,1
15,80,64.4,3.8522720568516444,1
15,90,73.5,3.0983866769659336,1
15,100,82.475,4.061942269407579,1
20,10,9.5,0.6324555320336759,1
20,20,19.25,0.8874119674649424,1
20,30,28.55,1.2031209415515964,1
20,40,37.65,1.5419143945109275,1
20,50,47.2,1.8466185312619388,1
20,60,56.425,1.6865274975522933,1
20,70,66.05,1.8296174463531987,1
20,80,75.275,1.9998437438960073,1
20,90,85.35,1.930673457630782,1
20,100,94.725,1.9746835189467702,1
