dimension,num_prod,run,iters_to_NE,NE
5,10,0,4,[1. 1. 3. 2. 3.]
5,10,1,5,[1. 1. 3. 2. 3.]
5,10,2,4,[1. 1. 3. 2. 3.]
5,10,3,3,[1. 1. 3. 2. 3.]
5,10,4,4,[1. 1. 3. 2. 3.]
5,10,5,5,[1. 1. 3. 2. 3.]
5,10,6,2,[1. 1. 3. 2. 3.]
5,10,7,3,[1. 1. 3. 2. 3.]
5,10,8,3,[1. 1. 3. 2. 3.]
5,10,9,3,[1. 1. 3. 2. 3.]
5,10,10,6,[1. 1. 3. 2. 3.]
5,10,11,6,[1. 1. 3. 2. 3.]
5,10,12,5,[1. 1. 3. 2. 3.]
5,10,13,4,[1. 1. 3. 2. 3.]
5,10,14,3,[1. 1. 3. 2. 3.]
5,10,15,2,[1. 1. 3. 2. 3.]
5,10,16,1,[1. 1. 3. 2. 3.]
5,10,17,2,[1. 1. 3. 2. 3.]
5,10,18,3,[1. 1. 3. 2. 3.]
5,10,19,3,[1. 1. 3. 2. 3.]
5,20,0,4,[3. 2. 6. 4. 5.]
5,20,1,5,[3. 2. 6. 4. 5.]
5,20,2,6,[3. 2. 6. 4. 5.]
5,20,3,2,[3. 2. 6. 4. 5.]
5,20,4,10,[3. 2. 6. 4. 5.]
5,20,5,4,[3. 2. 6. 4. 5.]
5,20,6,3,[3. 2. 6. 4. 5.]
5,20,7,9,[3. 2. 6. 4. 5.]
5,20,8,9,[3. 2. 6. 4. 5.]
5,20,9,9,[3. 2. 6. 4. 5.]
5,20,10,6,[3. 2. 6. 4. 5.]
5,20,11,6,[3. 2. 6. 4. 5.]
5,20,12,6,[3. 2. 6. 4. 5.]
5,20,13,8,[3. 2. 6. 4. 5.]
5,20,14,7,[3. 2. 6. 4. 5.]
5,20,15,7,[3. 2. 6. 4. 5.]
5,20,16,4,[3. 2. 6. 4. 5.]
5,20,17,6,[3. 2. 6. 4. 5.]
5,20,18,5,[3. 2. 6. 4. 5.]
5,20,19,2,[3. 2. 6. 4. 5.]
5,30,0,9,[ 4.  2. 10.  6.  8.]
5,30,1,9,[ 4.  2. 10.  6.  8.]
5,30,2,9,[ 4.  2. 10.  6.  8.]
5,30,3,8,[ 4.  2. 10.  6.  8.]
5,30,4,9,[ 4.  2. 10.  6.  8.]
5,30,5,9,[ 4.  2. 10.  6.  8.]
5,30,6,5,[ 4.  2. 10.  6.  8.]
5,30,7,7,[ 4.  2. 10.  6.  8.]
5,30,8,9,[ 4.  2. 10.  6.  8.]
5,30,9,6,[ 4.  2. 10.  6.  8.]
5,30,10,13,[ 4.  2. 10.  6.  8.]
5,30,11,8,[ 4.  2. 10.  6.  8.]
5,30,12,6,[ 4.  2. 10.  6.  8.]
5,30,13,10,[ 4.  2. 10.  6.  8.]
5,30,14,7,[ 4.  2. 10.  6.  8.]
5,30,15,14,[ 4.  2. 10.  6.  8.]
5,30,16,11,[ 4.  2. 10.  6.  8.]
5,30,17,9,[ 4.  2. 10.  6.  8.]
5,30,18,8,[ 4.  2. 10.  6.  8.]
