dimension,num_prod,run,iters_to_NE,NE
5,10,0,2,[2. 2. 2. 3. 1.]
5,10,1,3,[2. 2. 2. 3. 1.]
5,10,2,5,[2. 2. 2. 3. 1.]
5,10,3,3,[2. 2. 2. 3. 1.]
5,10,4,1,[2. 2. 2. 3. 1.]
5,10,5,2,[2. 2. 2. 3. 1.]
5,10,6,4,[2. 2. 2. 3. 1.]
5,10,7,2,[2. 2. 2. 3. 1.]
5,10,8,3,[2. 2. 2. 3. 1.]
5,10,9,4,[2. 2. 2. 3. 1.]
5,10,10,4,[2. 2. 2. 3. 1.]
5,10,11,4,[2. 2. 2. 3. 1.]
5,10,12,4,[2. 2. 2. 3. 1.]
5,10,13,3,[2. 2. 2. 3. 1.]
5,10,14,6,[2. 2. 2. 3. 1.]
5,10,15,3,[2. 2. 2. 3. 1.]
5,10,16,5,[2. 2. 2. 3. 1.]
5,10,17,3,[2. 2. 2. 3. 1.]
5,10,18,4,[2. 2. 2. 3. 1.]
5,10,19,4,[2. 2. 2. 3. 1.]
5,10,20,3,[2. 2. 2. 3. 1.]
5,10,21,0,[2. 2. 2. 3. 1.]
5,10,22,4,[2. 2. 2. 3. 1.]
5,10,23,2,[2. 2. 2. 3. 1.]
5,10,24,3,[2. 2. 2. 3. 1.]
5,10,25,3,[2. 2. 2. 3. 1.]
5,10,26,2,[2. 2. 2. 3. 1.]
5,10,27,2,[2. 2. 2. 3. 1.]
5,10,28,2,[2. 2. 2. 3. 1.]
5,10,29,2,[2. 2. 2. 3. 1.]
5,10,30,5,[2. 2. 2. 3. 1.]
5,10,31,3,[2. 2. 2. 3. 1.]
5,10,32,3,[2. 2. 2. 3. 1.]
5,10,33,2,[2. 2. 2. 3. 1.]
5,10,34,5,[2. 2. 2. 3. 1.]
5,10,35,3,[2. 2. 2. 3. 1.]
5,10,36,5,[2. 2. 2. 3. 1.]
5,10,37,7,[2. 2. 2. 3. 1.]
5,10,38,3,[2. 2. 2. 3. 1.]
5,10,39,2,[2. 2. 2. 3. 1.]
5,20,0,5,[4. 4. 5. 5. 2.]
5,20,1,4,[4. 4. 5. 5. 2.]
5,20,2,5,[4. 4. 5. 5. 2.]
5,20,3,6,[4. 4. 5. 5. 2.]
5,20,4,4,[4. 4. 5. 5. 2.]
5,20,5,5,[4. 4. 5. 5. 2.]
5,20,6,7,[4. 4. 5. 5. 2.]
5,20,7,4,[4. 4. 5. 5. 2.]
5,20,8,8,[4. 4. 5. 5. 2.]
5,20,9,3,[4. 4. 5. 5. 2.]
5,20,10,7,[4. 4. 5. 5. 2.]
5,20,11,4,[4. 4. 5. 5. 2.]
5,20,12,5,[4. 4. 5. 5. 2.]
5,20,13,5,[4. 4. 5. 5. 2.]
5,20,14,5,[4. 4. 5. 5. 2.]
5,20,15,5,[4. 4. 5. 5. 2.]
5,20,16,3,[4. 4. 5. 5. 2.]
5,20,17,4,[4. 4. 5. 5. 2.]
5,20,18,9,[4. 4. 5. 5. 2.]
