dimension,num_prod,run,iters_to_NE,NE,converged
5,10,0,1,[2. 3. 1. 2. 2.],True
5,10,1,3,[2. 3. 1. 2. 2.],True
5,10,2,4,[2. 3. 1. 2. 2.],True
5,10,3,5,[2. 3. 1. 2. 2.],True
5,10,4,3,[2. 3. 1. 2. 2.],True
5,10,5,4,[2. 3. 1. 2. 2.],True
5,10,6,5,[2. 3. 1. 2. 2.],True
5,10,7,4,[2. 3. 1. 2. 2.],True
5,10,8,5,[2. 3. 1. 2. 2.],True
5,10,9,5,[2. 3. 1. 2. 2.],True
5,10,10,3,[2. 3. 1. 2. 2.],True
5,10,11,3,[2. 3. 1. 2. 2.],True
5,10,12,3,[2. 3. 1. 2. 2.],True
5,10,13,2,[2. 3. 1. 2. 2.],True
5,10,14,4,[2. 3. 1. 2. 2.],True
5,10,15,3,[2. 3. 1. 2. 2.],True
5,10,16,5,[2. 3. 1. 2. 2.],True
5,10,17,2,[2. 3. 1. 2. 2.],True
5,10,18,2,[2. 3. 1. 2. 2.],True
5,10,19,3,[2. 3. 1. 2. 2.],True
5,10,20,4,[2. 3. 1. 2. 2.],True
5,10,21,4,[2. 3. 1. 2. 2.],True
5,10,22,3,[2. 3. 1. 2. 2.],True
5,10,23,3,[2. 3. 1. 2. 2.],True
5,10,24,1,[2. 3. 1. 2. 2.],True
5,10,25,1,[2. 3. 1. 2. 2.],True
5,10,26,2,[2. 3. 1. 2. 2.],True
5,10,27,2,[2. 3. 1. 2. 2.],True
5,10,28,1,[2. 3. 1. 2. 2.],True
5,10,29,2,[2. 3. 1. 2. 2.],True
5,10,30,2,[2. 3. 1. 2. 2.],True
5,10,31,4,[2. 3. 1. 2. 2.],True
5,10,32,6,[2. 3. 1. 2. 2.],True
5,10,33,1,[2. 3. 1. 2. 2.],True
5,10,34,2,[2. 3. 1. 2. 2.],True
5,10,35,5,[2. 3. 1. 2. 2.],True
5,10,36,3,[2. 3. 1. 2. 2.],True
5,10,37,2,[2. 3. 1. 2. 2.],True
5,10,38,2,[2. 3. 1. 2. 2.],True
5,10,39,3,[2. 3. 1. 2. 2.],True
5,20,0,5,[3. 6. 3. 4. 4.],True
5,20,1,5,[3. 6. 3. 4. 4.],True
5,20,2,4,[3. 6. 3. 4. 4.],True
5,20,3,2,[3. 6. 3. 4. 4.],True
5,20,4,7,[3. 6. 3. 4. 4.],True
5,20,5,3,[3. 6. 3. 4. 4.],True
5,20,6,2,[3. 6. 3. 4. 4.],True
5,20,7,6,[3. 6. 3. 4. 4.],True
5,20,8,5,[3. 6. 3. 4. 4.],True
5,20,9,8,[3. 6. 3. 4. 4.],True
5,20,10,9,[3. 6. 3. 4. 4.],True
5,20,11,6,[3. 6. 3. 4. 4.],True
5,20,12,6,[3. 6. 3. 4. 4.],True
5,20,13,4,[3. 6. 3. 4. 4.],True
5,20,14,3,[3. 6. 3. 4. 4.],True
5,20,15,3,[3. 6. 3. 4. 4.],True
5,20,16,4,[3. 6. 3. 4. 4.],True
5,20,17,7,[3. 6. 3. 4. 4.],True
5,20,18,7,[3. 6. 3. 4. 4.],True
5,20,19,1,[3. 6. 3. 4. 4.],True
5,20,20,4,[3. 6. 3. 4. 4.],True
5,20,21,2,[3. 6. 3. 4. 4.],True
5,20,22,8,[3. 6. 3. 4. 4.],True
5,20,23,7,[3. 6. 3. 4. 4.],True
5,20,24,7,[3. 6. 3. 4. 4.],True
5,20,25,4,[3. 6. 3. 4. 4.],True
5,20,26,6,[3. 6. 3. 4. 4.],True
5,20,27,4,[3. 6. 3. 4. 4.],True
5,20,28,5,[3. 6. 3. 4. 4.],True
5,20,29,5,[3. 6. 3. 4. 4.],True
5,20,30,7,[3. 6. 3. 4. 4.],True
5,20,31,5,[3. 6. 3. 4. 4.],True
5,20,32,5,[3. 6. 3. 4. 4.],True
5,20,33,4,[3. 6. 3. 4. 4.],True
5,20,34,4,[3. 6. 3. 4. 4.],True
5,20,35,5,[3. 6. 3. 4. 4.],True
5,20,36,7,[3. 6. 3. 4. 4.],True
5,20,37,8,[3. 6. 3. 4. 4.],True
5,20,38,6,[3. 6. 3. 4. 4.],True
5,20,39,7,[3. 6. 3. 4. 4.],True
5,30,0,4,[5. 8. 5. 6. 6.],True
5,30,1,5,[5. 8. 5. 6. 6.],True
5,30,2,6,[5. 8. 5. 6. 6.],True
5,30,3,7,[5. 8. 5. 6. 6.],True
5,30,4,3,[5. 8. 5. 6. 6.],True
5,30,5,7,[5. 8. 5. 6. 6.],True
5,30,6,5,[5. 8. 5. 6. 6.],True
5,30,7,5,[5. 8. 5. 6. 6.],True
5,30,8,6,[5. 8. 5. 6. 6.],True
5,30,9,8,[5. 8. 5. 6. 6.],True
5,30,10,8,[5. 8. 5. 6. 6.],True
5,30,11,4,[5. 8. 5. 6. 6.],True
5,30,12,9,[5. 8. 5. 6. 6.],True
5,30,13,6,[5. 8. 5. 6. 6.],True
5,30,14,6,[5. 8. 5. 6. 6.],True
5,30,15,7,[5. 8. 5. 6. 6.],True
5,30,16,9,[5. 8. 5. 6. 6.],True
5,30,17,9,[5. 8. 5. 6. 6.],True
5,30,18,6,[5. 8. 5. 6. 6.],True
5,30,19,4,[5. 8. 5. 6. 6.],True
5,30,20,7,[5. 8. 5. 6. 6.],True
5,30,21,5,[5. 8. 5. 6. 6.],True
5,30,22,7,[5. 8. 5. 6. 6.],True
5,30,23,7,[5. 8. 5. 6. 6.],True
5,30,24,6,[5. 8. 5. 6. 6.],True
5,30,25,5,[5. 8. 5. 6. 6.],True
5,30,26,2,[5. 8. 5. 6. 6.],True
5,30,27,7,[5. 8. 5. 6. 6.],True
5,30,28,8,[5. 8. 5. 6. 6.],True
5,30,29,4,[5. 8. 5. 6. 6.],True
5,30,30,11,[5. 8. 5. 6. 6.],True
5,30,31,5,[5. 8. 5. 6. 6.],True
5,30,32,4,[5. 8. 5. 6. 6.],True
5,30,33,6,[5. 8. 5. 6. 6.],True
5,30,34,5,[5. 8. 5. 6. 6.],True
5,30,35,8,[5. 8. 5. 6. 6.],True
5,30,36,9,[5. 8. 5. 6. 6.],True
5,30,37,3,[5. 8. 5. 6. 6.],True
5,30,38,4,[5. 8. 5. 6. 6.],True
5,30,39,9,[5. 8. 5. 6. 6.],True
5,40,0,8,[ 7. 11.  6.  8.  8.],True
5,40,1,9,[ 7. 11.  6.  8.  8.],True
5,40,2,7,[ 7. 11.  6.  8.  8.],True
5,40,3,4,[ 7. 11.  6.  8.  8.],True
5,40,4,4,[ 7. 11.  6.  8.  8.],True
5,40,5,9,[ 7. 11.  6.  8.  8.],True
5,40,6,9,[ 7. 11.  6.  8.  8.],True
5,40,7,10,[ 7. 11.  6.  8.  8.],True
5,40,8,7,[ 7. 11.  6.  8.  8.],True
5,40,9,4,[ 7. 11.  6.  8.  8.],True
5,40,10,5,[ 7. 11.  6.  8.  8.],True
5,40,11,12,[ 7. 11.  6.  8.  8.],True
5,40,12,7,[ 7. 11.  6.  8.  8.],True
5,40,13,5,[ 7. 11.  6.  8.  8.],True
5,40,14,9,[ 7. 11.  6.  8.  8.],True
5,40,15,6,[ 7. 11.  6.  8.  8.],True
5,40,16,8,[ 7. 11.  6.  8.  8.],True
5,40,17,6,[ 7. 11.  6.  8.  8.],True
5,40,18,6,[ 7. 11.  6.  8.  8.],True
5,40,19,8,[ 7. 11.  6.  8.  8.],True
5,40,20,2,[ 7. 11.  6.  8.  8.],True
5,40,21,6,[ 7. 11.  6.  8.  8.],True
5,40,22,8,[ 7. 11.  6.  8.  8.],True
5,40,23,2,[ 7. 11.  6.  8.  8.],True
5,40,24,6,[ 7. 11.  6.  8.  8.],True
5,40,25,7,[ 7. 11.  6.  8.  8.],True
5,40,26,8,[ 7. 11.  6.  8.  8.],True
5,40,27,14,[ 7. 11.  6.  8.  8.],True
5,40,28,6,[ 7. 11.  6.  8.  8.],True
5,40,29,3,[ 7. 11.  6.  8.  8.],True
5,40,30,6,[ 7. 11.  6.  8.  8.],True
5,40,31,4,[ 7. 11.  6.  8.  8.],True
5,40,32,7,[ 7. 11.  6.  8.  8.],True
5,40,33,9,[ 7. 11.  6.  8.  8.],True
5,40,34,7,[ 7. 11.  6.  8.  8.],True
5,40,35,8,[ 7. 11.  6.  8.  8.],True
5,40,36,9,[ 7. 11.  6.  8.  8.],True
5,40,37,6,[ 7. 11.  6.  8.  8.],True
5,40,38,4,[ 7. 11.  6.  8.  8.],True
5,40,39,4,[ 7. 11.  6.  8.  8.],True
5,50,0,2,[ 9. 14.  8. 10.  9.],True
5,50,1,7,[ 9. 14.  8. 10.  9.],True
5,50,2,5,[ 9. 14.  8. 10.  9.],True
5,50,3,9,[ 9. 14.  8. 10.  9.],True
5,50,4,9,[ 9. 14.  8. 10.  9.],True
5,50,5,5,[ 9. 14.  8. 10.  9.],True
