dimension,num_prod,run,iters_to_NE,NE,converged
5,10,0,7,[0. 0. 0. 1. 9.],True
5,10,1,7,[0. 0. 0. 1. 9.],True
5,10,2,8,[0. 0. 0. 1. 9.],True
5,10,3,9,[0. 0. 0. 1. 9.],True
5,10,4,8,[0. 0. 0. 1. 9.],True
5,10,5,7,[0. 0. 0. 1. 9.],True
5,10,6,9,[0. 0. 0. 1. 9.],True
5,10,7,9,[0. 0. 0. 1. 9.],True
5,10,8,7,[0. 0. 0. 1. 9.],True
5,10,9,3,[0. 0. 0. 1. 9.],True
5,10,10,8,[0. 0. 0. 1. 9.],True
5,10,11,6,[0. 0. 0. 1. 9.],True
5,10,12,9,[0. 0. 0. 1. 9.],True
5,10,13,7,[0. 0. 0. 1. 9.],True
5,10,14,8,[0. 0. 0. 1. 9.],True
5,10,15,9,[0. 0. 0. 1. 9.],True
5,10,16,7,[0. 0. 0. 1. 9.],True
5,10,17,8,[0. 0. 0. 1. 9.],True
5,10,18,6,[0. 0. 0. 1. 9.],True
5,10,19,8,[0. 0. 0. 1. 9.],True
5,10,20,8,[0. 0. 0. 1. 9.],True
5,10,21,7,[0. 0. 0. 1. 9.],True
5,10,22,9,[0. 0. 0. 1. 9.],True
5,10,23,9,[0. 0. 0. 1. 9.],True
5,10,24,4,[0. 0. 0. 1. 9.],True
5,10,25,6,[0. 0. 0. 1. 9.],True
5,10,26,7,[0. 0. 0. 1. 9.],True
5,10,27,7,[0. 0. 0. 1. 9.],True
5,10,28,8,[0. 0. 0. 1. 9.],True
5,10,29,5,[0. 0. 0. 1. 9.],True
5,10,30,8,[0. 0. 0. 1. 9.],True
5,10,31,7,[0. 0. 0. 1. 9.],True
5,10,32,8,[0. 0. 0. 1. 9.],True
5,10,33,4,[0. 0. 0. 1. 9.],True
5,10,34,8,[0. 0. 0. 1. 9.],True
5,10,35,8,[0. 0. 0. 1. 9.],True
5,10,36,7,[0. 0. 0. 1. 9.],True
5,10,37,5,[0. 0. 0. 1. 9.],True
5,10,38,7,[0. 0. 0. 1. 9.],True
5,10,39,7,[0. 0. 0. 1. 9.],True
5,20,0,15,[ 0.  0.  0.  3. 17.],True
5,20,1,15,[ 0.  0.  0.  3. 17.],True
5,20,2,15,[ 0.  0.  0.  3. 17.],True
5,20,3,12,[ 0.  0.  0.  3. 17.],True
5,20,4,10,[ 0.  0.  0.  3. 17.],True
5,20,5,13,[ 0.  0.  0.  3. 17.],True
5,20,6,16,[ 0.  0.  0.  3. 17.],True
5,20,7,12,[ 0.  0.  0.  3. 17.],True
5,20,8,9,[ 0.  0.  0.  3. 17.],True
5,20,9,18,[ 0.  0.  0.  3. 17.],True
5,20,10,15,[ 0.  0.  0.  3. 17.],True
5,20,11,17,[ 0.  0.  0.  3. 17.],True
5,20,12,16,[ 0.  0.  0.  3. 17.],True
5,20,13,10,[ 0.  0.  0.  3. 17.],True
5,20,14,14,[ 0.  0.  0.  3. 17.],True
5,20,15,15,[ 0.  0.  0.  3. 17.],True
5,20,16,13,[ 0.  0.  0.  3. 17.],True
