dimension,num_prod,mean_iter_to_NE,std_iters_to_NE,number_of_uniqueNE
5,10,6.15,1.4239030865898141,1
5,20,13.65,1.7684739183827396,1
5,30,20.0,2.23606797749979,1
5,40,25.95,2.9576172842340505,1
5,50,33.35,3.2291639784935047,1
5,60,39.1,4.570557952810575,1
5,70,48.05,3.625948151863179,1
5,80,52.85,3.7719358425084595,1
5,90,59.25,4.504164739438379,1
5,100,68.05,4.0183952020676115,1
10,10,8.75,1.0897247358851685,1
10,20,16.8,1.5362291495737217,1
10,30,25.5,1.2449899597988732,1
10,40,34.4,2.477902338672773,1
10,50,43.05,2.7290108097990378,1
10,60,52.25,2.7179955849853767,1
10,70,61.65,1.9306734576307822,1
10,80,68.85,3.7453304260105007,1
10,90,77.15,3.636963018783666,1
10,100,87.95,2.7472713735632306,1
15,10,8.05,1.0712142642814277,1
15,20,15.7,1.4525839046333953,1
15,30,23.65,2.080264406271472,1
15,40,31.35,2.4753787588973126,1
15,50,41.0,2.9154759474226504,1
15,60,49.2,2.3151673805580453,1
15,70,55.75,2.7726341266023544,1
15,80,65.05,3.556332380416656,1
15,90,72.6,3.072458299147443,1
15,100,80.4,3.7469987990390394,1
20,10,9.1,1.044030650891055,1
20,20,18.3,1.1874342087037917,1
20,30,27.45,1.6575584454250778,1
20,40,36.95,1.6271140095272978,1
20,50,45.05,1.961504524593303,1
20,60,54.7,2.6095976701399777,1
20,70,64.45,2.3124662159694354,1
20,80,72.35,2.7617928959282954,1
20,90,82.2,2.6191601707417584,1
20,100,91.05,2.6167728216259047,1
