dimension,num_prod,mean_iter_to_NE,std_iters_to_NE,number_of_uniqueNE
5,10,6.475,1.4139925742379271,1
5,20,13.225,2.2415117666432183,1
5,30,18.925,3.036342371999574,1
5,40,27.025,2.962157153157138,1
5,50,32.45,3.6806928695559487,1
5,60,39.125,4.278945547678774,1
5,70,46.225,3.3052042296959505,1
5,80,52.625,4.084651147895007,1
5,90,59.15,3.012888979036566,1
5,100,65.25,4.820529016612181,1
10,10,8.975,1.083685840084662,1
10,20,17.8,1.2884098726725126,1
10,30,26.45,1.7599715906798041,1
10,40,35.35,2.1742814905158903,1
10,50,44.05,2.4489793792516914,1
10,60,52.775,2.612350474189862,1
10,70,61.8,2.181742422927143,1
10,80,70.45,2.991237202229205,1
10,90,79.0,2.8460498941515415,1
10,100,88.65,3.029438891940222,1
15,10,9.225,0.7901740314639554,1
15,20,18.6,1.0198039027185568,1
15,30,28.125,1.3264143394882308,1
15,40,37.275,1.4489220130842102,1
15,50,46.375,1.4086784586980805,1
15,60,55.975,1.739073028943868,1
15,70,65.725,1.746245973510032,1
15,80,74.25,2.165063509461097,1
15,90,83.125,2.7855654722156507,1
15,100,93.225,3.1423518262600703,1
20,10,9.6,0.6244997998398398,1
20,20,19.25,0.82915619758885,1
20,30,28.45,0.9205976319760986,1
20,40,38.025,1.2346558224865745,1
20,50,47.3,1.6462077633154328,1
20,60,56.775,1.9683432119424702,1
20,70,66.2,1.7635192088548397,1
20,80,76.275,2.1907475892945767,1
20,90,85.775,1.96834321194247,1
20,100,95.7,2.249444375840399,1
