dimension,num_prod,mean_iter_to_NE,std_iters_to_NE,number_of_uniqueNE
5,10,5.725,1.6429774800647756,1
5,20,11.975,1.8369471957571344,1
5,30,17.1,2.5670995305986875,1
5,40,22.8,3.579106033634656,1
5,50,29.15,3.5252659474144643,1
5,60,33.675,3.445195930567665,1
5,70,40.225,3.6775501356201796,1
5,80,47.275,3.6877330434834894,1
5,90,51.025,4.886141115440691,1
5,100,56.375,4.688749833377763,1
10,10,8.0,1.3228756555322954,1
10,20,16.175,1.6566155257029316,1
10,30,24.525,1.9103337404757317,1
10,40,33.125,2.3578326912654344,1
10,50,41.025,2.823893588646711,1
10,60,49.125,2.3365305476282563,1
10,70,56.6,3.0886890422961004,1
10,80,64.975,3.7582409449102645,1
10,90,73.0,3.626292872893749,1
10,100,81.175,3.7675423023504333,1
15,10,8.325,1.3488420960216212,1
15,20,14.775,2.0431287282009425,1
15,30,22.35,2.1971572542719833,1
15,40,29.45,2.365903632864196,1
15,50,35.5,2.7386127875258306,1
15,60,43.0,3.1937438845342623,1
15,70,50.875,4.313858481684349,1
15,80,56.9,4.091454509095757,1
15,90,65.05,3.6738943915142688,1
15,100,72.875,5.339417103017894,1
20,10,8.875,1.0767427733679016,1
20,20,17.425,1.2427288521636568,1
20,30,26.025,1.4914338738274653,1
20,40,34.55,2.085065946199304,1
20,50,43.325,2.601802259972883,1
20,60,51.625,2.9041995454858123,1
20,70,60.075,2.7146592788046164,1
20,80,68.275,2.932469096171347,1
20,90,77.125,3.5084718895838396,1
20,100,86.55,3.499642838919423,1
