dimension,num_prod,mean_iter_to_NE,std_iters_to_NE,number_of_uniqueNE
5,10,5.725,1.6429774800647756,1
5,20,11.975,1.8369471957571344,1
5,30,17.1,2.5670995305986875,1
5,40,22.8,3.579106033634656,1
5,50,29.15,3.5252659474144643,1
5,60,33.675,3.445195930567665,1
5,70,40.225,3.6775501356201796,1
5,80,47.275,3.6877330434834894,1
5,90,51.025,4.886141115440691,1
5,100,56.375,4.688749833377763,1
10,10,7.575,1.3763629608500805,1
10,20,14.925,2.0296243494794792,1
10,30,21.55,2.81913107180209,1
10,40,28.55,2.783433131943356,1
10,50,36.575,3.0731701872821815,1
10,60,43.975,3.6365333767201973,1
10,70,51.2,3.6755951898978214,1
10,80,57.425,4.6844823620118365,1
10,90,65.475,4.919286025430926,1
10,100,72.75,3.766629793329841,1
15,10,8.9,0.8888194417315589,1
15,20,17.45,1.627114009527298,1
15,30,26.15,1.82414363469547,1
15,40,35.125,1.846449295269166,1
15,50,43.825,2.6541241493193195,1
15,60,52.35,2.4854577043273136,1
15,70,60.7,2.8301943396169813,1
15,80,69.55,3.1460292433478743,1
15,90,78.675,3.5453314372566074,1
15,100,87.625,3.055220941274133,1
20,10,8.65,1.085126720710535,1
20,20,17.55,1.7881554742247667,1
20,30,26.15,1.4062361110425232,1
20,40,35.875,1.777463079785344,1
20,50,43.725,2.1678041885742356,1
20,60,52.45,2.5391927851189244,1
20,70,61.025,2.7339303209847907,1
20,80,69.575,2.905920680266411,1
20,90,77.85,3.252306873589883,1
20,100,86.975,3.5034804123899423,1
