dimension,num_prod,mean_iter_to_NE,std_iters_to_NE,number_of_uniqueNE
5,10,3.325,1.292042955942255,1
5,20,4.85,1.4756354563373706,1
5,30,6.975,2.919653232834338,1
5,40,8.875,3.042922115335849,1
5,50,10.2,4.154515615568197,1
5,60,12.175,4.259621462055049,1
5,70,12.15,3.9531632903283924,1
5,80,15.7,4.605431575867782,1
5,90,14.25,5.9107952087684446,1
5,100,17.825,4.1945649357233705,1
10,10,6.4,1.5132745950421556,1
10,20,10.95,2.2017038856304,1
10,30,16.7,2.4515301344262523,1
10,40,22.075,3.296873518957013,1
10,50,27.15,3.751999466950921,1
10,60,32.175,4.230174346288815,1
10,70,36.225,3.882573244640724,1
10,80,42.625,3.883860836847788,1
10,90,47.6,5.2335456432518095,1
10,100,51.725,4.224852068416124,1
15,10,7.85,1.2757350822173072,1
15,20,15.475,2.15624094200996,1
15,30,22.7,2.315167380558045,1
15,40,29.175,3.00738673934697,1
15,50,37.35,2.5937424698685874,1
15,60,44.425,3.1928631351813372,1
15,70,51.725,4.086486877502484,1
15,80,58.45,3.1060424980994705,1
15,90,65.325,4.83418814280123,1
15,100,74.25,4.778859696622197,1
20,10,8.575,0.9717895862788405,1
20,20,16.15,1.7684739183827394,1
20,30,24.375,2.2878756522153907,1
20,40,33.675,2.3386694935368704,1
20,50,41.35,2.770830200499482,1
20,60,47.575,2.845061510758599,1
20,70,56.675,3.319544396449609,1
20,80,64.4,3.491418050019218,1
20,90,72.7,4.267317658670374,1
20,100,81.2,3.8353617821530217,1
