dimension,num_prod,mean_iter_to_NE,std_iters_to_NE,number_of_uniqueNE
5,10,8.0,1.2449899597988732,1
5,20,15.675,1.6641439240642621,1
5,30,23.975,1.9427750770482928,1
5,40,32.125,2.551347683088293,1
5,50,40.8,2.7946377224964243,1
5,60,47.35,3.2058540203820884,1
5,70,54.875,3.3554992177021887,1
5,80,63.675,4.088933234964837,1
5,90,71.5,3.721558813185679,1
5,100,79.2,4.86929152957594,1
10,10,8.95,0.998749217771909,1
10,20,17.525,1.0720890821195785,1
10,30,26.975,1.8369471957571342,1
10,40,35.675,2.2179664109269104,1
10,50,44.9,2.0346989949375804,1
10,60,54.375,2.1873214212822036,1
10,70,62.525,2.5296985986476725,1
10,80,71.825,2.4988747467610297,1
10,90,80.6,2.1999999999999997,1
10,100,89.6,3.3749074061372406,1
15,10,9.325,0.6851094803022361,1
15,20,18.375,1.1333026956643137,1
15,30,28.05,1.4823967080373592,1
15,40,37.575,1.4981238266578636,1
15,50,46.475,1.7173744495595595,1
15,60,56.125,1.5522161576275386,1
15,70,65.0,2.3979157616563596,1
15,80,74.025,2.103419834460063,1
15,90,83.575,2.5969934539771176,1
15,100,93.2,2.3043437243605824,1
20,10,9.025,0.9350802104632522,1
20,20,18.075,1.0813764376941084,1
20,30,27.7,1.307669683062202,1
20,40,36.675,1.6790994610206984,1
20,50,45.25,1.7284386017443605,1
20,60,54.5,2.073644135332772,1
20,70,63.25,2.436698586202241,1
20,80,73.075,2.884332678454412,1
20,90,81.8,2.3473389188611002,1
20,100,91.225,2.9705849592294107,1
