dimension,num_prod,mean_iter_to_NE,std_iters_to_NE,number_of_uniqueNE
5,10,8.0,1.2449899597988732,1
5,20,15.675,1.6641439240642621,1
5,30,23.975,1.9427750770482928,1
5,40,32.125,2.551347683088293,1
5,50,40.8,2.7946377224964243,1
5,60,47.35,3.2058540203820884,1
5,70,54.875,3.3554992177021887,1
5,80,63.675,4.088933234964837,1
5,90,71.5,3.721558813185679,1
5,100,79.2,4.86929152957594,1
10,10,8.85,0.7262919523166975,1
10,20,17.35,1.4585952145814822,1
10,30,25.65,1.9817921182606415,1
10,40,33.775,2.067456166403535,1
10,50,43.55,2.1788758569500923,1
10,60,51.875,2.441183114803148,1
10,70,60.8,2.491987158875422,1
10,80,70.1,2.596150997149434,1
10,90,77.975,3.3202974264363725,1
10,100,87.275,3.073983571849401,1
15,10,9.25,0.9682458365518543,1
15,20,18.625,1.0882899429839459,1
15,30,27.725,1.6276900810658028,1
15,40,37.575,1.6716384178404133,1
15,50,46.85,1.7542804792848834,1
15,60,56.5,2.0248456731316584,1
15,70,65.375,2.1411153635430296,1
15,80,75.425,2.3333184523335,1
15,90,83.8,2.4413111231467406,1
15,100,93.95,2.144178164239157,1
20,10,9.325,0.8771402396424416,1
20,20,18.325,1.2725466592624415,1
20,30,27.65,1.3518505834595773,1
20,40,36.925,1.7661752461180062,1
20,50,45.15,2.1277922830953213,1
20,60,54.75,2.1418449990603894,1
20,70,63.5,2.1908902300206643,1
20,80,72.875,2.1469455046647083,1
20,90,82.875,2.7585095613392387,1
20,100,90.725,2.4493621618699017,1
