dimension,num_prod,run,iters_to_NE,NE
5,10,0,7,[3. 7. 0. 0. 0.]
5,10,1,3,[3. 7. 0. 0. 0.]
5,10,2,7,[3. 7. 0. 0. 0.]
5,10,3,8,[3. 7. 0. 0. 0.]
5,10,4,7,[3. 7. 0. 0. 0.]
5,10,5,6,[3. 7. 0. 0. 0.]
5,10,6,4,[3. 7. 0. 0. 0.]
5,10,7,6,[3. 7. 0. 0. 0.]
5,10,8,8,[3. 7. 0. 0. 0.]
5,10,9,6,[3. 7. 0. 0. 0.]
5,10,10,6,[3. 7. 0. 0. 0.]
5,10,11,8,[3. 7. 0. 0. 0.]
5,10,12,6,[3. 7. 0. 0. 0.]
5,10,13,5,[3. 7. 0. 0. 0.]
5,10,14,7,[3. 7. 0. 0. 0.]
5,10,15,7,[3. 7. 0. 0. 0.]
5,10,16,3,[3. 7. 0. 0. 0.]
5,10,17,7,[3. 7. 0. 0. 0.]
5,10,18,6,[3. 7. 0. 0. 0.]
5,10,19,6,[3. 7. 0. 0. 0.]
5,20,0,15,[ 6. 14.  0.  0.  0.]
5,20,1,13,[ 6. 14.  0.  0.  0.]
5,20,2,16,[ 6. 14.  0.  0.  0.]
5,20,3,12,[ 6. 14.  0.  0.  0.]
5,20,4,12,[ 6. 14.  0.  0.  0.]
5,20,5,13,[ 6. 14.  0.  0.  0.]
5,20,6,12,[ 6. 14.  0.  0.  0.]
5,20,7,15,[ 6. 14.  0.  0.  0.]
5,20,8,12,[ 6. 14.  0.  0.  0.]
5,20,9,15,[ 6. 14.  0.  0.  0.]
5,20,10,16,[ 6. 14.  0.  0.  0.]
5,20,11,13,[ 6. 14.  0.  0.  0.]
5,20,12,14,[ 6. 14.  0.  0.  0.]
5,20,13,14,[ 6. 14.  0.  0.  0.]
5,20,14,10,[ 6. 14.  0.  0.  0.]
5,20,15,15,[ 6. 14.  0.  0.  0.]
5,20,16,14,[ 6. 14.  0.  0.  0.]
5,20,17,14,[ 6. 14.  0.  0.  0.]
5,20,18,11,[ 6. 14.  0.  0.  0.]
5,20,19,17,[ 6. 14.  0.  0.  0.]
5,30,0,22,[10. 20.  0.  0.  0.]
5,30,1,20,[10. 20.  0.  0.  0.]
5,30,2,18,[10. 20.  0.  0.  0.]
5,30,3,19,[10. 20.  0.  0.  0.]
5,30,4,22,[10. 20.  0.  0.  0.]
5,30,5,14,[10. 20.  0.  0.  0.]
5,30,6,20,[10. 20.  0.  0.  0.]
5,30,7,20,[10. 20.  0.  0.  0.]
5,30,8,21,[10. 20.  0.  0.  0.]
5,30,9,20,[10. 20.  0.  0.  0.]
5,30,10,23,[10. 20.  0.  0.  0.]
5,30,11,23,[10. 20.  0.  0.  0.]
5,30,12,20,[10. 20.  0.  0.  0.]
5,30,13,17,[10. 20.  0.  0.  0.]
5,30,14,18,[10. 20.  0.  0.  0.]
5,30,15,23,[10. 20.  0.  0.  0.]
5,30,16,19,[10. 20.  0.  0.  0.]
5,30,17,22,[10. 20.  0.  0.  0.]
5,30,18,18,[10. 20.  0.  0.  0.]
5,30,19,21,[10. 20.  0.  0.  0.]
5,40,0,27,[13. 27.  0.  0.  0.]
5,40,1,24,[13. 27.  0.  0.  0.]
5,40,2,28,[13. 27.  0.  0.  0.]
5,40,3,29,[13. 27.  0.  0.  0.]
5,40,4,27,[13. 27.  0.  0.  0.]
5,40,5,24,[13. 27.  0.  0.  0.]
5,40,6,30,[13. 27.  0.  0.  0.]
5,40,7,28,[13. 27.  0.  0.  0.]
5,40,8,27,[13. 27.  0.  0.  0.]
5,40,9,25,[13. 27.  0.  0.  0.]
5,40,10,29,[13. 27.  0.  0.  0.]
5,40,11,29,[13. 27.  0.  0.  0.]
5,40,12,24,[13. 27.  0.  0.  0.]
5,40,13,27,[13. 27.  0.  0.  0.]
5,40,14,22,[13. 27.  0.  0.  0.]
5,40,15,25,[13. 27.  0.  0.  0.]
5,40,16,20,[13. 27.  0.  0.  0.]
5,40,17,28,[13. 27.  0.  0.  0.]
5,40,18,27,[13. 27.  0.  0.  0.]
5,40,19,19,[13. 27.  0.  0.  0.]
5,50,0,34,[16. 34.  0.  0.  0.]
5,50,1,37,[16. 34.  0.  0.  0.]
5,50,2,35,[16. 34.  0.  0.  0.]
5,50,3,29,[16. 34.  0.  0.  0.]
5,50,4,29,[16. 34.  0.  0.  0.]
5,50,5,28,[16. 34.  0.  0.  0.]
5,50,6,36,[16. 34.  0.  0.  0.]
5,50,7,27,[16. 34.  0.  0.  0.]
5,50,8,32,[16. 34.  0.  0.  0.]
5,50,9,37,[16. 34.  0.  0.  0.]
5,50,10,36,[16. 34.  0.  0.  0.]
5,50,11,33,[16. 34.  0.  0.  0.]
5,50,12,33,[16. 34.  0.  0.  0.]
5,50,13,37,[16. 34.  0.  0.  0.]
5,50,14,37,[16. 34.  0.  0.  0.]
5,50,15,37,[16. 34.  0.  0.  0.]
5,50,16,35,[16. 34.  0.  0.  0.]
5,50,17,30,[16. 34.  0.  0.  0.]
5,50,18,32,[16. 34.  0.  0.  0.]
5,50,19,33,[16. 34.  0.  0.  0.]
5,60,0,35,[19. 41.  0.  0.  0.]
5,60,1,44,[19. 41.  0.  0.  0.]
5,60,2,46,[19. 41.  0.  0.  0.]
5,60,3,33,[19. 41.  0.  0.  0.]
5,60,4,43,[19. 41.  0.  0.  0.]
5,60,5,41,[19. 41.  0.  0.  0.]
5,60,6,40,[19. 41.  0.  0.  0.]
5,60,7,50,[19. 41.  0.  0.  0.]
5,60,8,34,[19. 41.  0.  0.  0.]
5,60,9,37,[19. 41.  0.  0.  0.]
5,60,10,42,[19. 41.  0.  0.  0.]
5,60,11,38,[19. 41.  0.  0.  0.]
5,60,12,37,[19. 41.  0.  0.  0.]
5,60,13,42,[19. 41.  0.  0.  0.]
5,60,14,33,[19. 41.  0.  0.  0.]
5,60,15,35,[19. 41.  0.  0.  0.]
5,60,16,38,[19. 41.  0.  0.  0.]
5,60,17,42,[19. 41.  0.  0.  0.]
5,60,18,39,[19. 41.  0.  0.  0.]
5,60,19,33,[19. 41.  0.  0.  0.]
5,70,0,43,[22. 48.  0.  0.  0.]
5,70,1,52,[22. 48.  0.  0.  0.]
5,70,2,54,[22. 48.  0.  0.  0.]
5,70,3,44,[22. 48.  0.  0.  0.]
5,70,4,40,[22. 48.  0.  0.  0.]
5,70,5,47,[22. 48.  0.  0.  0.]
5,70,6,52,[22. 48.  0.  0.  0.]
5,70,7,50,[22. 48.  0.  0.  0.]
5,70,8,47,[22. 48.  0.  0.  0.]
5,70,9,48,[22. 48.  0.  0.  0.]
5,70,10,51,[22. 48.  0.  0.  0.]
5,70,11,44,[22. 48.  0.  0.  0.]
5,70,12,49,[22. 48.  0.  0.  0.]
5,70,13,50,[22. 48.  0.  0.  0.]
5,70,14,50,[22. 48.  0.  0.  0.]
5,70,15,43,[22. 48.  0.  0.  0.]
5,70,16,46,[22. 48.  0.  0.  0.]
5,70,17,52,[22. 48.  0.  0.  0.]
5,70,18,50,[22. 48.  0.  0.  0.]
5,70,19,49,[22. 48.  0.  0.  0.]
5,80,0,51,[26. 54.  0.  0.  0.]
5,80,1,52,[26. 54.  0.  0.  0.]
5,80,2,52,[26. 54.  0.  0.  0.]
5,80,3,58,[26. 54.  0.  0.  0.]
5,80,4,48,[26. 54.  0.  0.  0.]
5,80,5,53,[26. 54.  0.  0.  0.]
5,80,6,51,[26. 54.  0.  0.  0.]
5,80,7,53,[26. 54.  0.  0.  0.]
5,80,8,51,[26. 54.  0.  0.  0.]
5,80,9,45,[26. 54.  0.  0.  0.]
5,80,10,54,[26. 54.  0.  0.  0.]
5,80,11,53,[26. 54.  0.  0.  0.]
5,80,12,60,[26. 54.  0.  0.  0.]
5,80,13,51,[26. 54.  0.  0.  0.]
5,80,14,56,[26. 54.  0.  0.  0.]
5,80,15,49,[26. 54.  0.  0.  0.]
5,80,16,61,[26. 54.  0.  0.  0.]
5,80,17,51,[26. 54.  0.  0.  0.]
5,80,18,52,[26. 54.  0.  0.  0.]
5,80,19,56,[26. 54.  0.  0.  0.]
5,90,0,66,[29. 61.  0.  0.  0.]
5,90,1,57,[29. 61.  0.  0.  0.]
5,90,2,52,[29. 61.  0.  0.  0.]
5,90,3,65,[29. 61.  0.  0.  0.]
5,90,4,64,[29. 61.  0.  0.  0.]
5,90,5,66,[29. 61.  0.  0.  0.]
5,90,6,54,[29. 61.  0.  0.  0.]
5,90,7,52,[29. 61.  0.  0.  0.]
5,90,8,56,[29. 61.  0.  0.  0.]
5,90,9,57,[29. 61.  0.  0.  0.]
5,90,10,62,[29. 61.  0.  0.  0.]
5,90,11,64,[29. 61.  0.  0.  0.]
5,90,12,57,[29. 61.  0.  0.  0.]
5,90,13,65,[29. 61.  0.  0.  0.]
5,90,14,61,[29. 61.  0.  0.  0.]
5,90,15,56,[29. 61.  0.  0.  0.]
5,90,16,59,[29. 61.  0.  0.  0.]
5,90,17,60,[29. 61.  0.  0.  0.]
5,90,18,57,[29. 61.  0.  0.  0.]
5,90,19,55,[29. 61.  0.  0.  0.]
5,100,0,70,[32. 68.  0.  0.  0.]
5,100,1,65,[32. 68.  0.  0.  0.]
5,100,2,71,[32. 68.  0.  0.  0.]
5,100,3,65,[32. 68.  0.  0.  0.]
5,100,4,62,[32. 68.  0.  0.  0.]
5,100,5,72,[32. 68.  0.  0.  0.]
5,100,6,70,[32. 68.  0.  0.  0.]
5,100,7,67,[32. 68.  0.  0.  0.]
5,100,8,66,[32. 68.  0.  0.  0.]
5,100,9,70,[32. 68.  0.  0.  0.]
5,100,10,72,[32. 68.  0.  0.  0.]
5,100,11,74,[32. 68.  0.  0.  0.]
5,100,12,70,[32. 68.  0.  0.  0.]
5,100,13,74,[32. 68.  0.  0.  0.]
5,100,14,58,[32. 68.  0.  0.  0.]
5,100,15,71,[32. 68.  0.  0.  0.]
5,100,16,64,[32. 68.  0.  0.  0.]
5,100,17,67,[32. 68.  0.  0.  0.]
5,100,18,65,[32. 68.  0.  0.  0.]
5,100,19,68,[32. 68.  0.  0.  0.]
10,10,0,9,[0. 0. 0. 2. 8. 0. 0. 0. 0. 0.]
10,10,1,9,[0. 0. 0. 2. 8. 0. 0. 0. 0. 0.]
10,10,2,10,[0. 0. 0. 2. 8. 0. 0. 0. 0. 0.]
10,10,3,8,[0. 0. 0. 2. 8. 0. 0. 0. 0. 0.]
10,10,4,8,[0. 0. 0. 2. 8. 0. 0. 0. 0. 0.]
10,10,5,8,[0. 0. 0. 2. 8. 0. 0. 0. 0. 0.]
10,10,6,10,[0. 0. 0. 2. 8. 0. 0. 0. 0. 0.]
10,10,7,9,[0. 0. 0. 2. 8. 0. 0. 0. 0. 0.]
10,10,8,10,[0. 0. 0. 2. 8. 0. 0. 0. 0. 0.]
10,10,9,10,[0. 0. 0. 2. 8. 0. 0. 0. 0. 0.]
10,10,10,6,[0. 0. 0. 2. 8. 0. 0. 0. 0. 0.]
10,10,11,7,[0. 0. 0. 2. 8. 0. 0. 0. 0. 0.]
10,10,12,10,[0. 0. 0. 2. 8. 0. 0. 0. 0. 0.]
10,10,13,7,[0. 0. 0. 2. 8. 0. 0. 0. 0. 0.]
10,10,14,9,[0. 0. 0. 2. 8. 0. 0. 0. 0. 0.]
10,10,15,9,[0. 0. 0. 2. 8. 0. 0. 0. 0. 0.]
10,10,16,9,[0. 0. 0. 2. 8. 0. 0. 0. 0. 0.]
10,10,17,9,[0. 0. 0. 2. 8. 0. 0. 0. 0. 0.]
10,10,18,9,[0. 0. 0. 2. 8. 0. 0. 0. 0. 0.]
10,10,19,9,[0. 0. 0. 2. 8. 0. 0. 0. 0. 0.]
10,20,0,19,[ 0.  0.  0.  3. 17.  0.  0.  0.  0.  0.]
10,20,1,18,[ 0.  0.  0.  3. 17.  0.  0.  0.  0.  0.]
10,20,2,17,[ 0.  0.  0.  3. 17.  0.  0.  0.  0.  0.]
10,20,3,14,[ 0.  0.  0.  3. 17.  0.  0.  0.  0.  0.]
10,20,4,16,[ 0.  0.  0.  3. 17.  0.  0.  0.  0.  0.]
