dimension,num_prod,run,iters_to_NE,NE
5,10,0,1,[1. 7. 2. 0. 0.]
5,10,1,6,[1. 7. 2. 0. 0.]
5,10,2,7,[1. 7. 2. 0. 0.]
5,10,3,6,[1. 7. 2. 0. 0.]
5,10,4,8,[1. 7. 2. 0. 0.]
5,10,5,7,[1. 7. 2. 0. 0.]
5,10,6,5,[1. 7. 2. 0. 0.]
5,10,7,6,[1. 7. 2. 0. 0.]
5,10,8,5,[1. 7. 2. 0. 0.]
5,10,9,10,[1. 7. 2. 0. 0.]
5,10,10,6,[1. 7. 2. 0. 0.]
5,10,11,6,[1. 7. 2. 0. 0.]
5,10,12,7,[1. 7. 2. 0. 0.]
5,10,13,6,[1. 7. 2. 0. 0.]
5,10,14,8,[1. 7. 2. 0. 0.]
5,10,15,6,[1. 7. 2. 0. 0.]
5,10,16,7,[1. 7. 2. 0. 0.]
5,10,17,8,[1. 7. 2. 0. 0.]
5,10,18,6,[1. 7. 2. 0. 0.]
5,10,19,8,[1. 7. 2. 0. 0.]
5,10,20,6,[1. 7. 2. 0. 0.]
5,10,21,7,[1. 7. 2. 0. 0.]
5,10,22,8,[1. 7. 2. 0. 0.]
5,10,23,7,[1. 7. 2. 0. 0.]
5,10,24,6,[1. 7. 2. 0. 0.]
5,10,25,8,[1. 7. 2. 0. 0.]
5,10,26,8,[1. 7. 2. 0. 0.]
5,10,27,6,[1. 7. 2. 0. 0.]
5,10,28,7,[1. 7. 2. 0. 0.]
5,10,29,5,[1. 7. 2. 0. 0.]
5,10,30,7,[1. 7. 2. 0. 0.]
5,10,31,6,[1. 7. 2. 0. 0.]
5,10,32,7,[1. 7. 2. 0. 0.]
5,10,33,5,[1. 7. 2. 0. 0.]
5,10,34,4,[1. 7. 2. 0. 0.]
5,10,35,6,[1. 7. 2. 0. 0.]
5,10,36,7,[1. 7. 2. 0. 0.]
5,10,37,6,[1. 7. 2. 0. 0.]
5,10,38,7,[1. 7. 2. 0. 0.]
5,10,39,7,[1. 7. 2. 0. 0.]
5,20,0,15,[ 1. 14.  5.  0.  0.]
5,20,1,10,[ 1. 14.  5.  0.  0.]
5,20,2,9,[ 1. 14.  5.  0.  0.]
5,20,3,16,[ 1. 14.  5.  0.  0.]
5,20,4,14,[ 1. 14.  5.  0.  0.]
5,20,5,15,[ 1. 14.  5.  0.  0.]
5,20,6,15,[ 1. 14.  5.  0.  0.]
5,20,7,16,[ 1. 14.  5.  0.  0.]
5,20,8,14,[ 1. 14.  5.  0.  0.]
5,20,9,10,[ 1. 14.  5.  0.  0.]
5,20,10,14,[ 1. 14.  5.  0.  0.]
5,20,11,14,[ 1. 14.  5.  0.  0.]
5,20,12,14,[ 1. 14.  5.  0.  0.]
5,20,13,14,[ 1. 14.  5.  0.  0.]
5,20,14,13,[ 1. 14.  5.  0.  0.]
5,20,15,15,[ 1. 14.  5.  0.  0.]
5,20,16,8,[ 1. 14.  5.  0.  0.]
5,20,17,14,[ 1. 14.  5.  0.  0.]
5,20,18,15,[ 1. 14.  5.  0.  0.]
5,20,19,13,[ 1. 14.  5.  0.  0.]
5,20,20,13,[ 1. 14.  5.  0.  0.]
5,20,21,11,[ 1. 14.  5.  0.  0.]
5,20,22,14,[ 1. 14.  5.  0.  0.]
5,20,23,15,[ 1. 14.  5.  0.  0.]
5,20,24,14,[ 1. 14.  5.  0.  0.]
5,20,25,11,[ 1. 14.  5.  0.  0.]
5,20,26,15,[ 1. 14.  5.  0.  0.]
5,20,27,10,[ 1. 14.  5.  0.  0.]
5,20,28,11,[ 1. 14.  5.  0.  0.]
5,20,29,16,[ 1. 14.  5.  0.  0.]
5,20,30,14,[ 1. 14.  5.  0.  0.]
5,20,31,11,[ 1. 14.  5.  0.  0.]
5,20,32,17,[ 1. 14.  5.  0.  0.]
5,20,33,13,[ 1. 14.  5.  0.  0.]
5,20,34,16,[ 1. 14.  5.  0.  0.]
5,20,35,15,[ 1. 14.  5.  0.  0.]
5,20,36,9,[ 1. 14.  5.  0.  0.]
5,20,37,13,[ 1. 14.  5.  0.  0.]
5,20,38,10,[ 1. 14.  5.  0.  0.]
5,20,39,13,[ 1. 14.  5.  0.  0.]
5,30,0,23,[ 2. 21.  7.  0.  0.]
5,30,1,17,[ 2. 21.  7.  0.  0.]
5,30,2,17,[ 2. 21.  7.  0.  0.]
5,30,3,14,[ 2. 21.  7.  0.  0.]
5,30,4,16,[ 2. 21.  7.  0.  0.]
5,30,5,21,[ 2. 21.  7.  0.  0.]
5,30,6,18,[ 2. 21.  7.  0.  0.]
5,30,7,18,[ 2. 21.  7.  0.  0.]
5,30,8,16,[ 2. 21.  7.  0.  0.]
5,30,9,23,[ 2. 21.  7.  0.  0.]
5,30,10,20,[ 2. 21.  7.  0.  0.]
5,30,11,14,[ 2. 21.  7.  0.  0.]
5,30,12,21,[ 2. 21.  7.  0.  0.]
5,30,13,16,[ 2. 21.  7.  0.  0.]
5,30,14,21,[ 2. 21.  7.  0.  0.]
5,30,15,22,[ 2. 21.  7.  0.  0.]
5,30,16,19,[ 2. 21.  7.  0.  0.]
5,30,17,12,[ 2. 21.  7.  0.  0.]
5,30,18,16,[ 2. 21.  7.  0.  0.]
5,30,19,19,[ 2. 21.  7.  0.  0.]
5,30,20,22,[ 2. 21.  7.  0.  0.]
5,30,21,17,[ 2. 21.  7.  0.  0.]
5,30,22,15,[ 2. 21.  7.  0.  0.]
5,30,23,19,[ 2. 21.  7.  0.  0.]
5,30,24,21,[ 2. 21.  7.  0.  0.]
5,30,25,26,[ 2. 21.  7.  0.  0.]
5,30,26,23,[ 2. 21.  7.  0.  0.]
5,30,27,17,[ 2. 21.  7.  0.  0.]
5,30,28,24,[ 2. 21.  7.  0.  0.]
5,30,29,19,[ 2. 21.  7.  0.  0.]
5,30,30,20,[ 2. 21.  7.  0.  0.]
5,30,31,20,[ 2. 21.  7.  0.  0.]
5,30,32,16,[ 2. 21.  7.  0.  0.]
5,30,33,21,[ 2. 21.  7.  0.  0.]
5,30,34,18,[ 2. 21.  7.  0.  0.]
5,30,35,17,[ 2. 21.  7.  0.  0.]
5,30,36,20,[ 2. 21.  7.  0.  0.]
5,30,37,21,[ 2. 21.  7.  0.  0.]
5,30,38,22,[ 2. 21.  7.  0.  0.]
5,30,39,16,[ 2. 21.  7.  0.  0.]
5,40,0,28,[ 2. 28. 10.  0.  0.]
5,40,1,28,[ 2. 28. 10.  0.  0.]
5,40,2,29,[ 2. 28. 10.  0.  0.]
5,40,3,28,[ 2. 28. 10.  0.  0.]
5,40,4,29,[ 2. 28. 10.  0.  0.]
5,40,5,26,[ 2. 28. 10.  0.  0.]
5,40,6,24,[ 2. 28. 10.  0.  0.]
5,40,7,30,[ 2. 28. 10.  0.  0.]
5,40,8,23,[ 2. 28. 10.  0.  0.]
