dimension,num_prod,run,iters_to_NE,NE,converged
5,10,0,6,[0. 6. 0. 2. 2.],True
5,10,1,8,[0. 6. 0. 2. 2.],True
5,10,2,6,[0. 6. 0. 2. 2.],True
5,10,3,5,[0. 6. 0. 2. 2.],True
5,10,4,7,[0. 6. 0. 2. 2.],True
5,10,5,5,[0. 6. 0. 2. 2.],True
5,10,6,4,[0. 6. 0. 2. 2.],True
5,10,7,5,[0. 6. 0. 2. 2.],True
5,10,8,5,[0. 6. 0. 2. 2.],True
5,10,9,9,[0. 6. 0. 2. 2.],True
5,10,10,7,[0. 6. 0. 2. 2.],True
5,10,11,8,[0. 6. 0. 2. 2.],True
5,10,12,5,[0. 6. 0. 2. 2.],True
5,10,13,7,[0. 6. 0. 2. 2.],True
5,10,14,6,[0. 6. 0. 2. 2.],True
5,10,15,4,[0. 6. 0. 2. 2.],True
5,10,16,8,[0. 6. 0. 2. 2.],True
5,10,17,5,[0. 6. 0. 2. 2.],True
5,10,18,8,[0. 6. 0. 2. 2.],True
5,10,19,3,[0. 6. 0. 2. 2.],True
5,10,20,7,[0. 6. 0. 2. 2.],True
5,10,21,5,[0. 6. 0. 2. 2.],True
5,10,22,5,[0. 6. 0. 2. 2.],True
5,10,23,6,[0. 6. 0. 2. 2.],True
5,10,24,3,[0. 6. 0. 2. 2.],True
5,10,25,4,[0. 6. 0. 2. 2.],True
5,10,26,7,[0. 6. 0. 2. 2.],True
5,10,27,3,[0. 6. 0. 2. 2.],True
5,10,28,8,[0. 6. 0. 2. 2.],True
5,10,29,7,[0. 6. 0. 2. 2.],True
5,10,30,7,[0. 6. 0. 2. 2.],True
5,10,31,6,[0. 6. 0. 2. 2.],True
5,10,32,4,[0. 6. 0. 2. 2.],True
5,10,33,8,[0. 6. 0. 2. 2.],True
5,10,34,5,[0. 6. 0. 2. 2.],True
5,10,35,3,[0. 6. 0. 2. 2.],True
5,10,36,6,[0. 6. 0. 2. 2.],True
5,10,37,3,[0. 6. 0. 2. 2.],True
5,10,38,6,[0. 6. 0. 2. 2.],True
5,10,39,5,[0. 6. 0. 2. 2.],True
5,20,0,9,[ 0. 13.  0.  4.  3.],True
5,20,1,14,[ 0. 13.  0.  4.  3.],True
5,20,2,12,[ 0. 13.  0.  4.  3.],True
5,20,3,10,[ 0. 13.  0.  4.  3.],True
5,20,4,10,[ 0. 13.  0.  4.  3.],True
5,20,5,14,[ 0. 13.  0.  4.  3.],True
5,20,6,13,[ 0. 13.  0.  4.  3.],True
5,20,7,10,[ 0. 13.  0.  4.  3.],True
5,20,8,12,[ 0. 13.  0.  4.  3.],True
5,20,9,13,[ 0. 13.  0.  4.  3.],True
5,20,10,12,[ 0. 13.  0.  4.  3.],True
5,20,11,12,[ 0. 13.  0.  4.  3.],True
5,20,12,13,[ 0. 13.  0.  4.  3.],True
5,20,13,14,[ 0. 13.  0.  4.  3.],True
5,20,14,10,[ 0. 13.  0.  4.  3.],True
5,20,15,14,[ 0. 13.  0.  4.  3.],True
5,20,16,16,[ 0. 13.  0.  4.  3.],True
5,20,17,11,[ 0. 13.  0.  4.  3.],True
5,20,18,13,[ 0. 13.  0.  4.  3.],True
5,20,19,14,[ 0. 13.  0.  4.  3.],True
5,20,20,9,[ 0. 13.  0.  4.  3.],True
5,20,21,15,[ 0. 13.  0.  4.  3.],True
5,20,22,14,[ 0. 13.  0.  4.  3.],True
